,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,maxPositions,parametrePVO2,parametrePERF,parametreTRIX_HISTO,parametrePVO,parametreBOL_BANDwindowdev,parametreBOL_BANDwindow,parametreMACD,parametreEMA13D,parametreEMA9D,parametreEMA10,parametreEMA50,parametreEMA45
0,[2021-10-01 00:00:00] -> [2021-11-01 23:55:00],1216.01,21.64,38.6,-12.24,21.6,-3.84,40.67,378.91,636.0,193.0,443.0,30.35,0.08,1.62,-0.59,1000,2,-5,0,-10.0,0,1.2,20,20,312,216,10,50,45
1,[2021-10-01 00:00:00] -> [2021-11-01 23:55:00],1226.46,22.69,38.6,-11.48,26.76,-7.67,42.76,292.64,440.0,132.0,308.0,30.0,0.11,2.19,-0.78,1000,2,-5,0,-10.0,0,1.2,30,20,312,216,10,50,45
2,[2021-10-01 00:00:00] -> [2021-11-01 23:55:00],1510.44,51.1,38.6,9.01,55.37,-8.5,37.49,226.23,343.0,105.0,238.0,30.61,0.22,2.73,-0.89,1000,2,-5,0,-10.0,0,1.2,40,20,312,216,10,50,45
3,[2021-10-01 00:00:00] -> [2021-11-01 23:55:00],1060.61,6.1,38.6,-23.45,25.11,-10.87,46.17,278.28,493.0,154.0,339.0,31.24,0.07,1.82,-0.73,1000,2,-5,0,-10.0,0,1.6,20,20,312,216,10,50,45
4,[2021-10-01 00:00:00] -> [2021-11-01 23:55:00],2558.22,155.91,38.6,84.64,55.37,-3.22,37.69,249.82,332.0,106.0,226.0,31.93,0.39,3.15,-0.9,1000,2,-5,0,-10.0,0,1.6,30,20,312,216,10,50,45
5,[2021-10-01 00:00:00] -> [2021-11-01 23:55:00],1222.66,22.31,38.6,-11.76,51.97,-7.63,46.52,180.88,276.0,80.0,196.0,28.99,0.18,3.19,-1.05,1000,2,-5,0,-10.0,0,1.6,40,20,312,216,10,50,45
6,[2021-10-01 00:00:00] -> [2021-11-01 23:55:00],1351.03,35.15,38.6,-2.49,51.92,-7.91,53.14,224.11,338.0,103.0,235.0,30.47,0.18,2.59,-0.88,1000,2,-5,0,-10.0,0,2.0,20,20,312,216,10,50,45
7,[2021-10-01 00:00:00] -> [2021-11-01 23:55:00],1448.42,44.89,38.6,4.54,48.19,-8.2,43.3,179.54,247.0,80.0,167.0,32.39,0.26,3.21,-1.15,1000,2,-5,0,-10.0,0,2.0,30,20,312,216,10,50,45
8,[2021-10-01 00:00:00] -> [2021-11-01 23:55:00],1807.41,80.8,38.6,30.45,50.62,-7.99,39.74,161.3,197.0,75.0,122.0,38.07,0.43,3.2,-1.27,1000,2,-5,0,-10.0,0,2.0,40,20,312,216,10,50,45
9,[2021-10-01 00:00:00] -> [2021-11-01 23:55:00],2261.48,126.23,38.6,63.22,154.51,-8.07,34.08,133.17,170.0,65.0,105.0,38.24,0.91,4.51,-1.32,1000,2,-5,0,-10.0,0,2.4,20,20,312,216,10,50,45
10,[2021-10-01 00:00:00] -> [2021-11-01 23:55:00],2275.49,127.63,38.6,64.23,164.76,-8.91,36.29,110.64,135.0,47.0,88.0,34.81,1.2,6.29,-1.51,1000,2,-5,0,-10.0,0,2.4,30,20,312,216,10,50,45
11,[2021-10-01 00:00:00] -> [2021-11-01 23:55:00],1731.12,73.17,38.6,24.94,61.16,-11.02,29.44,116.77,133.0,49.0,84.0,36.84,0.61,4.18,-1.48,1000,2,-5,0,-10.0,0,2.4,40,20,312,216,10,50,45
12,[2021-10-01 00:00:00] -> [2021-11-01 23:55:00],1198.33,19.88,38.6,-13.51,74.85,-10.18,42.96,83.28,78.0,34.0,44.0,43.59,0.57,4.34,-2.35,1000,2,-5,0,-10.0,0,2.8,20,20,312,216,10,50,45
