mois,finalBalance,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,parametres
04-2022,980.49,5.72,-2.72,7.98,128.66,185.0,87.0,98.0,47.03,0.03,2 -5 0 0.0 20 1.2 30 20 312 216 10 50 45
04-2022,975.41,5.72,-2.72,8.59,127.11,183.0,86.0,97.0,46.99,0.03,2 -5 0 0.0 20 1.2 40 20 312 216 10 50 45
04-2022,968.78,5.72,-3.41,8.27,126.69,184.0,86.0,98.0,46.74,0.02,2 -5 0 0.0 20 1.6 30 20 312 216 10 50 45
04-2022,961.46,5.72,-2.75,8.09,125.94,183.0,85.0,98.0,46.45,0.02,2 -5 0 0.0 20 1.6 40 20 312 216 10 50 45
04-2022,959.85,5.72,-2.46,8.82,126.24,186.0,84.0,102.0,45.16,0.02,2 -5 0 0.0 20 1.6 20 20 312 216 10 50 45
04-2022,927.18,5.72,-3.41,12.06,122.92,187.0,85.0,102.0,45.45,0.0,2 -5 0 0.0 20 1.2 20 20 312 216 10 50 45
04-2022,922.28,5.72,-3.17,9.57,124.7,185.0,84.0,101.0,45.41,-0.0,2 -5 0 0.0 20 2.0 20 20 312 216 10 50 45
04-2022,919.57,22.82,-3.56,22.93,97.27,157.0,48.0,109.0,30.57,0.0,2 -5 0 -10.0 20 1.2 20 20 312 216 10 50 45
04-2022,893.5,5.84,-2.44,15.17,219.21,337.0,142.0,195.0,42.14,0.01,2 -5 0 0.0 15 1.2 30 20 312 216 10 50 45
04-2022,886.5,5.76,-2.68,15.4,217.56,336.0,140.0,196.0,41.67,0.0,2 -5 0 0.0 15 1.2 40 20 312 216 10 50 45
04-2022,872.74,21.87,-3.85,19.52,84.35,136.0,40.0,96.0,29.41,-0.04,2 -5 0 -10.0 20 1.2 30 20 312 216 10 50 45
04-2022,871.71,5.76,-2.44,15.21,216.58,333.0,138.0,195.0,41.44,-0.0,2 -5 0 0.0 15 1.6 30 20 312 216 10 50 45
04-2022,868.66,5.76,-2.54,15.32,216.54,333.0,139.0,194.0,41.74,-0.0,2 -5 0 0.0 15 1.6 40 20 312 216 10 50 45
04-2022,862.61,5.76,-2.94,14.41,217.26,331.0,139.0,192.0,41.99,-0.0,2 -5 0 0.0 15 2.8 40 20 312 216 10 50 45
04-2022,854.81,5.76,-2.94,15.53,216.94,331.0,139.0,192.0,41.99,-0.01,2 -5 0 0.0 15 2.8 20 20 312 216 10 50 45
04-2022,853.22,5.76,-2.78,15.19,216.82,331.0,140.0,191.0,42.3,-0.01,2 -5 0 0.0 15 2.8 30 20 312 216 10 50 45
04-2022,853.21,5.8,-2.64,17.49,216.71,341.0,143.0,198.0,41.94,-0.01,2 -5 0 0.0 15 1.6 20 20 312 216 10 50 45
04-2022,852.66,5.76,-2.82,15.61,215.81,333.0,139.0,194.0,41.74,-0.01,2 -5 0 0.0 15 2.0 30 20 312 216 10 50 45
04-2022,849.68,5.76,-2.82,15.53,215.25,332.0,139.0,193.0,41.87,-0.01,2 -5 0 0.0 15 2.0 40 20 312 216 10 50 45
04-2022,849.26,5.76,-2.67,16.43,214.42,332.0,139.0,193.0,41.87,-0.01,2 -5 0 0.0 15 2.4 30 20 312 216 10 50 45
04-2022,844.73,4.67,-5.2,19.85,36.07,58.0,20.0,38.0,34.48,-0.23,2 -5 0 -10.0 15 2.8 20 20 312 216 10 50 45
04-2022,837.94,22.03,-4.15,26.5,83.08,142.0,39.0,103.0,27.46,-0.07,2 -5 0 -10.0 20 1.6 20 20 312 216 10 50 45
04-2022,837.46,5.76,-2.67,16.99,214.05,336.0,140.0,196.0,41.67,-0.01,2 -5 0 0.0 15 2.0 20 20 312 216 10 50 45
04-2022,831.25,5.76,-2.67,16.97,212.82,332.0,137.0,195.0,41.27,-0.02,2 -5 0 0.0 15 2.4 20 20 312 216 10 50 45
04-2022,829.84,5.76,-3.36,17.12,213.97,332.0,139.0,193.0,41.87,-0.02,2 -5 0 0.0 15 2.4 40 20 312 216 10 50 45
04-2022,810.31,20.86,-5.43,25.23,62.65,107.0,31.0,76.0,28.97,-0.13,2 -5 0 -10.0 20 1.6 40 20 312 216 10 50 45
04-2022,793.38,23.15,-4.8,25.31,72.0,119.0,33.0,86.0,27.73,-0.13,2 -5 0 -10.0 20 1.2 40 20 312 216 10 50 45
04-2022,788.32,5.8,-2.47,21.94,210.93,349.0,146.0,203.0,41.83,-0.03,2 -5 0 0.0 15 1.2 20 20 312 216 10 50 45
04-2022,785.1,23.05,-4.8,27.37,70.54,121.0,34.0,87.0,28.1,-0.14,2 -5 0 -10.0 20 1.6 30 20 312 216 10 50 45
04-2022,772.89,8.42,-6.14,24.0,35.72,58.0,15.0,43.0,25.86,-0.37,2 -5 0 -10.0 15 2.8 30 20 312 216 10 50 45
04-2022,757.43,9.21,-2.58,24.83,291.75,475.0,193.0,282.0,40.63,-0.02,2 -5 0 0.0 10 1.6 40 20 312 216 10 50 45
04-2022,753.12,9.21,-2.44,25.98,291.08,477.0,191.0,286.0,40.04,-0.02,2 -5 0 0.0 10 1.6 30 20 312 216 10 50 45
04-2022,748.1,9.21,-2.57,28.1,286.28,479.0,193.0,286.0,40.29,-0.02,2 -5 0 0.0 10 1.2 40 20 312 216 10 50 45
04-2022,734.65,8.42,-5.49,27.17,38.75,62.0,21.0,41.0,33.87,-0.42,2 -5 0 -10.0 15 2.8 40 20 312 216 10 50 45
04-2022,730.96,22.06,-3.56,31.4,151.03,266.0,69.0,197.0,25.94,-0.07,2 -5 0 -10.0 15 1.2 20 20 312 216 10 50 45
04-2022,728.98,9.21,-2.98,27.19,286.06,474.0,193.0,281.0,40.72,-0.03,2 -5 0 0.0 10 2.0 30 20 312 216 10 50 45
04-2022,724.31,21.85,-3.19,33.38,138.35,243.0,68.0,175.0,27.98,-0.08,2 -5 0 -10.0 0 1.6 30 20 312 216 10 50 45
04-2022,723.83,22.02,-3.56,33.76,196.75,346.0,89.0,257.0,25.72,-0.05,2 -5 0 -10.0 10 1.2 20 20 312 216 10 50 45
04-2022,723.12,21.24,-5.47,28.49,58.93,104.0,29.0,75.0,27.88,-0.25,2 -5 0 -10.0 20 2.0 30 20 312 216 10 50 45
04-2022,722.03,9.21,-4.03,28.14,289.27,474.0,193.0,281.0,40.72,-0.03,2 -5 0 0.0 10 2.0 40 20 312 216 10 50 45
04-2022,720.85,9.13,-3.4,30.47,366.57,615.0,226.0,389.0,36.75,-0.01,2 -5 0 0.0 0 1.6 20 20 312 216 10 50 45
04-2022,716.63,9.21,-4.03,28.47,284.97,473.0,195.0,278.0,41.23,-0.03,2 -5 0 0.0 10 2.8 30 20 312 216 10 50 45
04-2022,711.27,9.21,-4.03,29.01,284.06,474.0,194.0,280.0,40.93,-0.03,2 -5 0 0.0 10 2.4 30 20 312 216 10 50 45
04-2022,710.94,22.01,-4.14,30.63,169.69,289.0,75.0,214.0,25.95,-0.07,2 -5 0 -10.0 10 1.6 20 20 312 216 10 50 45
04-2022,710.39,9.08,-2.47,29.71,288.84,498.0,196.0,302.0,39.36,-0.03,2 -5 0 0.0 10 1.2 20 20 312 216 10 50 45
04-2022,710.31,9.08,-2.64,29.05,291.6,485.0,192.0,293.0,39.59,-0.03,2 -5 0 0.0 10 1.6 20 20 312 216 10 50 45
04-2022,708.66,9.21,-3.93,29.22,284.24,473.0,194.0,279.0,41.01,-0.03,2 -5 0 0.0 10 2.8 40 20 312 216 10 50 45
04-2022,705.62,21.51,-3.85,30.96,120.76,215.0,59.0,156.0,27.44,-0.11,2 -5 0 -10.0 15 1.2 30 20 312 216 10 50 45
04-2022,705.57,9.13,-3.39,34.29,350.28,610.0,232.0,378.0,38.03,-0.02,2 -5 0 0.0 5 1.2 20 20 312 216 10 50 45
04-2022,703.86,9.21,-3.93,29.78,283.39,473.0,194.0,279.0,41.01,-0.03,2 -5 0 0.0 10 2.4 40 20 312 216 10 50 45
04-2022,702.01,9.21,-4.03,29.97,284.52,477.0,194.0,283.0,40.67,-0.03,2 -5 0 0.0 10 2.4 20 20 312 216 10 50 45
04-2022,700.98,8.5,-2.98,29.99,287.92,481.0,195.0,286.0,40.54,-0.03,2 -5 0 0.0 10 2.0 20 20 312 216 10 50 45
04-2022,699.98,9.25,-3.39,30.51,343.63,577.0,225.0,352.0,38.99,-0.02,2 -5 0 0.0 5 1.6 40 20 312 216 10 50 45
04-2022,699.61,9.25,-3.4,31.81,344.63,597.0,227.0,370.0,38.02,-0.02,2 -5 0 0.0 0 2.0 40 20 312 216 10 50 45
04-2022,698.04,9.21,-3.95,30.28,282.23,473.0,194.0,279.0,41.01,-0.04,2 -5 0 0.0 10 2.8 20 20 312 216 10 50 45
04-2022,693.69,9.21,-2.44,30.75,285.77,482.0,192.0,290.0,39.83,-0.04,2 -5 0 0.0 10 1.2 30 20 312 216 10 50 45
04-2022,693.04,8.76,-3.4,31.09,358.33,608.0,229.0,379.0,37.66,-0.02,2 -5 0 0.0 0 2.0 20 20 312 216 10 50 45
04-2022,690.0,21.68,-4.14,33.06,126.36,231.0,56.0,175.0,24.24,-0.11,2 -5 0 -10.0 15 1.6 20 20 312 216 10 50 45
04-2022,689.35,21.96,-4.43,32.85,110.69,198.0,55.0,143.0,27.78,-0.13,2 -5 0 -10.0 0 2.0 30 20 312 216 10 50 45
04-2022,689.29,22.37,-3.37,31.05,101.94,182.0,45.0,137.0,24.73,-0.15,2 -5 0 -10.0 15 1.6 30 20 312 216 10 50 45
