mois,finalBalance,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,parametres
09-2021,1417.62,8.39,-4.49,14.03,142.45,151.0,65.0,86.0,43.05,0.29,2 -5 0 -10.0 20 1.6 30 20 312 216 10 50 45
09-2021,1290.25,8.63,-3.21,15.9,150.37,174.0,70.0,104.0,40.23,0.2,2 -5 0 -10.0 20 1.2 30 20 312 216 10 50 45
09-2021,1286.67,8.72,-4.46,16.62,132.71,147.0,59.0,88.0,40.14,0.23,2 -5 0 -10.0 20 1.2 40 20 312 216 10 50 45
09-2021,1208.48,8.03,-4.01,27.26,91.07,103.0,38.0,65.0,36.89,0.25,2 -5 0 -10.0 20 2.4 20 20 312 216 10 50 45
09-2021,1207.36,10.71,-4.98,22.54,49.18,53.0,21.0,32.0,39.62,0.45,2 -5 0 -10.0 20 2.8 20 20 312 216 10 50 45
09-2021,1180.59,13.04,-4.03,27.51,94.76,106.0,42.0,64.0,39.62,0.23,2 -5 0 -10.0 20 2.0 40 20 312 216 10 50 45
09-2021,1163.5,11.9,-4.57,19.68,101.11,120.0,49.0,71.0,40.83,0.19,2 -5 0 -10.0 20 2.0 30 20 312 216 10 50 45
09-2021,1157.37,10.18,-6.26,28.29,250.79,284.0,106.0,178.0,37.32,0.11,2 -5 0 -10.0 0 1.6 30 20 312 216 10 50 45
09-2021,1156.89,11.99,-5.47,24.17,108.26,126.0,49.0,77.0,38.89,0.18,2 -5 0 -10.0 20 1.6 40 20 312 216 10 50 45
09-2021,1156.35,8.98,-5.11,35.93,711.08,835.0,367.0,468.0,43.95,0.06,2 -5 0 0.0 0 2.0 20 20 312 216 10 50 45
09-2021,1143.17,10.95,-6.28,31.96,236.4,267.0,98.0,169.0,36.7,0.11,2 -5 0 -10.0 5 1.2 40 20 312 216 10 50 45
09-2021,1134.05,10.18,-6.28,25.52,228.93,266.0,102.0,164.0,38.35,0.1,2 -5 0 -10.0 5 1.6 30 20 312 216 10 50 45
09-2021,1127.58,10.5,-5.45,29.79,220.86,265.0,98.0,167.0,36.98,0.1,2 -5 0 -10.0 5 2.0 20 20 312 216 10 50 45
09-2021,1091.74,9.62,-4.59,39.81,681.03,822.0,363.0,459.0,44.16,0.05,2 -5 0 0.0 0 2.4 20 20 312 216 10 50 45
09-2021,1087.85,9.26,-6.02,33.25,58.46,63.0,26.0,37.0,41.27,0.24,2 -5 0 -10.0 0 2.8 40 20 312 216 10 50 45
09-2021,1085.07,9.49,-3.1,19.81,142.76,191.0,69.0,122.0,36.13,0.09,2 -5 0 -10.0 20 1.6 20 20 312 216 10 50 45
09-2021,1084.17,8.98,-5.06,40.03,716.51,856.0,375.0,481.0,43.81,0.05,2 -5 0 0.0 0 1.6 20 20 312 216 10 50 45
09-2021,1082.71,9.62,-4.37,39.77,683.67,827.0,363.0,464.0,43.89,0.05,2 -5 0 0.0 0 1.6 40 20 312 216 10 50 45
09-2021,1077.52,9.62,-5.05,40.58,684.33,829.0,368.0,461.0,44.39,0.05,2 -5 0 0.0 0 1.6 30 20 312 216 10 50 45
09-2021,1063.94,9.3,-3.8,12.99,120.85,165.0,57.0,108.0,34.55,0.09,2 -5 0 -10.0 20 2.0 20 20 312 216 10 50 45
09-2021,1062.86,9.62,-4.37,40.74,663.56,813.0,356.0,457.0,43.79,0.05,2 -5 0 0.0 0 2.8 20 20 312 216 10 50 45
09-2021,1052.94,9.62,-4.79,41.91,675.91,822.0,361.0,461.0,43.92,0.05,2 -5 0 0.0 0 2.0 40 20 312 216 10 50 45
09-2021,1046.62,8.89,-3.1,13.22,155.44,227.0,83.0,144.0,36.56,0.06,2 -5 0 -10.0 20 1.2 20 20 312 216 10 50 45
09-2021,1046.5,11.45,-6.39,31.91,189.39,216.0,79.0,137.0,36.57,0.08,2 -5 0 -10.0 5 1.6 40 20 312 216 10 50 45
09-2021,1043.96,13.56,-6.37,37.7,204.19,232.0,82.0,150.0,35.34,0.08,2 -5 0 -10.0 0 1.6 40 20 312 216 10 50 45
09-2021,1038.13,9.62,-5.05,42.23,664.54,822.0,358.0,464.0,43.55,0.05,2 -5 0 0.0 0 2.0 30 20 312 216 10 50 45
09-2021,1031.41,9.62,-4.4,42.84,662.15,814.0,354.0,460.0,43.49,0.05,2 -5 0 0.0 0 2.8 40 20 312 216 10 50 45
09-2021,1029.79,9.62,-5.05,41.76,689.42,837.0,365.0,472.0,43.61,0.05,2 -5 0 0.0 0 1.2 40 20 312 216 10 50 45
09-2021,1023.6,9.62,-4.79,42.27,659.44,817.0,356.0,461.0,43.57,0.04,2 -5 0 0.0 0 2.4 40 20 312 216 10 50 45
09-2021,1016.64,9.62,-5.11,39.65,678.78,842.0,367.0,475.0,43.59,0.04,2 -5 0 0.0 0 1.2 30 20 312 216 10 50 45
09-2021,1008.55,9.62,-4.79,44.24,653.48,815.0,355.0,460.0,43.56,0.04,2 -5 0 0.0 0 2.4 30 20 312 216 10 50 45
09-2021,1007.02,9.62,-4.59,44.61,655.87,813.0,354.0,459.0,43.54,0.04,2 -5 0 0.0 0 2.8 30 20 312 216 10 50 45
09-2021,989.77,9.5,-5.52,38.6,332.0,401.0,133.0,268.0,33.17,0.05,2 -5 0 -10.0 0 1.6 20 20 312 216 10 50 45
09-2021,987.34,13.79,-5.52,35.47,190.22,254.0,94.0,160.0,37.01,0.05,2 -5 0 -10.0 10 2.0 20 20 312 216 10 50 45
09-2021,974.25,9.58,-5.52,33.91,300.53,387.0,126.0,261.0,32.56,0.04,2 -5 0 -10.0 5 1.6 20 20 312 216 10 50 45
09-2021,965.88,13.45,-5.11,30.13,37.28,46.0,18.0,28.0,39.13,0.04,2 -5 0 -10.0 20 2.8 40 20 312 216 10 50 45
09-2021,962.09,8.98,-3.77,41.95,700.61,880.0,371.0,509.0,42.16,0.04,2 -5 0 0.0 0 1.2 20 20 312 216 10 50 45
09-2021,956.03,10.5,-5.45,35.16,234.3,288.0,104.0,184.0,36.11,0.04,2 -5 0 -10.0 0 2.0 20 20 312 216 10 50 45
09-2021,942.65,10.66,-4.03,35.87,75.99,94.0,34.0,60.0,36.17,-0.0,2 -5 0 -10.0 20 2.4 30 20 312 216 10 50 45
09-2021,937.45,11.46,-6.74,26.58,44.14,56.0,19.0,37.0,33.93,-0.03,2 -5 0 -10.0 20 2.8 30 20 312 216 10 50 45
09-2021,935.49,9.01,-5.06,36.92,570.35,814.0,362.0,452.0,44.47,0.03,2 -5 0 0.0 5 1.6 20 20 312 216 10 50 45
09-2021,921.48,9.65,-5.05,35.33,546.72,786.0,352.0,434.0,44.78,0.03,2 -5 0 0.0 5 1.6 30 20 312 216 10 50 45
09-2021,919.21,9.8,-6.47,39.13,113.26,157.0,52.0,105.0,33.12,0.02,2 -5 0 -10.0 5 2.4 20 20 312 216 10 50 45
09-2021,917.4,11.02,-6.26,38.81,279.51,352.0,118.0,234.0,33.52,0.03,2 -5 0 -10.0 0 1.2 30 20 312 216 10 50 45
09-2021,913.62,9.65,-5.05,35.77,563.67,790.0,351.0,439.0,44.43,0.03,2 -5 0 0.0 5 1.2 40 20 312 216 10 50 45
09-2021,901.45,12.59,-6.39,40.89,162.33,203.0,78.0,125.0,38.42,0.01,2 -5 0 -10.0 10 1.6 40 20 312 216 10 50 45
09-2021,893.94,9.65,-5.11,33.78,548.0,795.0,354.0,441.0,44.53,0.03,2 -5 0 0.0 5 1.2 30 20 312 216 10 50 45
09-2021,883.32,11.32,-6.85,31.0,220.17,311.0,108.0,203.0,34.73,0.01,2 -5 0 -10.0 10 1.2 30 20 312 216 10 50 45
09-2021,879.26,10.19,-6.28,38.11,249.52,338.0,110.0,228.0,32.54,0.01,2 -5 0 -10.0 5 1.2 30 20 312 216 10 50 45
09-2021,874.4,9.8,-5.45,43.63,117.72,166.0,56.0,110.0,33.73,-0.02,2 -5 0 -10.0 0 2.4 20 20 312 216 10 50 45
09-2021,871.03,13.04,-3.77,35.27,231.19,342.0,126.0,216.0,36.84,0.01,2 -5 0 -10.0 15 1.2 20 20 312 216 10 50 45
09-2021,870.48,10.18,-6.28,36.13,149.86,205.0,72.0,133.0,35.12,-0.0,2 -5 0 -10.0 5 2.0 30 20 312 216 10 50 45
09-2021,853.47,10.18,-6.85,42.7,193.92,257.0,97.0,160.0,37.74,-0.01,2 -5 0 -10.0 10 1.6 30 20 312 216 10 50 45
09-2021,844.05,12.59,-4.39,47.06,308.61,441.0,143.0,298.0,32.43,0.01,2 -5 0 -10.0 10 1.2 20 20 312 216 10 50 45
09-2021,839.78,11.79,-6.85,36.0,180.62,253.0,93.0,160.0,36.76,-0.01,2 -5 0 -10.0 10 1.2 40 20 312 216 10 50 45
09-2021,833.32,9.01,-3.77,39.92,570.4,833.0,354.0,479.0,42.5,0.02,2 -5 0 0.0 5 1.2 20 20 312 216 10 50 45
09-2021,832.74,13.38,-6.39,37.86,121.36,174.0,56.0,118.0,32.18,-0.03,2 -5 0 -10.0 5 2.0 40 20 312 216 10 50 45
09-2021,828.07,9.68,-11.31,34.14,49.17,72.0,24.0,48.0,33.33,-0.16,2 -5 0 -10.0 15 2.8 20 20 312 216 10 50 45
09-2021,825.67,9.7,-4.39,38.63,246.39,347.0,111.0,236.0,31.99,-0.01,2 -5 0 -10.0 10 1.6 20 20 312 216 10 50 45
09-2021,819.98,13.74,-5.69,39.1,142.34,216.0,75.0,141.0,34.72,-0.04,2 -5 0 -10.0 15 2.0 20 20 312 216 10 50 45
09-2021,809.02,11.37,-3.7,40.21,184.51,259.0,91.0,168.0,35.14,-0.03,2 -5 0 -10.0 15 1.2 30 20 312 216 10 50 45
09-2021,804.49,12.65,-5.25,45.64,86.62,112.0,41.0,71.0,36.61,-0.12,2 -5 0 -10.0 10 2.4 40 20 312 216 10 50 45
09-2021,798.52,9.55,-7.97,42.65,49.48,64.0,24.0,40.0,37.5,-0.24,2 -5 0 -10.0 5 2.8 40 20 312 216 10 50 45
09-2021,797.2,10.41,-3.77,52.45,356.59,501.0,166.0,335.0,33.13,0.0,2 -5 0 -10.0 5 1.2 20 20 312 216 10 50 45
09-2021,787.99,11.35,-4.38,38.9,66.34,89.0,30.0,59.0,33.71,-0.2,2 -5 0 -10.0 20 2.4 40 20 312 216 10 50 45
09-2021,786.7,10.28,-6.26,39.02,203.98,294.0,107.0,187.0,36.39,-0.03,2 -5 0 -10.0 0 1.2 40 20 312 216 10 50 45
09-2021,785.77,9.42,-3.77,34.91,183.13,272.0,96.0,176.0,35.29,-0.04,2 -5 0 -10.0 15 1.6 20 20 312 216 10 50 45
09-2021,785.08,10.18,-6.26,44.72,162.37,215.0,74.0,141.0,34.42,-0.05,2 -5 0 -10.0 0 2.0 30 20 312 216 10 50 45
09-2021,770.57,13.38,-6.83,48.95,119.3,166.0,55.0,111.0,33.13,-0.09,2 -5 0 -10.0 10 2.0 40 20 312 216 10 50 45
09-2021,759.68,12.8,-7.87,52.56,99.94,120.0,41.0,79.0,34.17,-0.13,2 -5 0 -10.0 0 2.4 40 20 312 216 10 50 45
09-2021,754.14,16.44,-9.35,41.93,58.43,87.0,31.0,56.0,35.63,-0.22,2 -5 0 -10.0 0 2.8 20 20 312 216 10 50 45
09-2021,750.34,10.51,-3.77,50.78,357.73,529.0,167.0,362.0,31.57,-0.01,2 -5 0 -10.0 0 1.2 20 20 312 216 10 50 45
09-2021,746.14,10.79,-7.24,45.95,45.77,62.0,25.0,37.0,40.32,-0.37,2 -5 0 -10.0 10 2.8 40 20 312 216 10 50 45
09-2021,745.19,11.64,-7.36,48.05,94.45,128.0,48.0,80.0,37.5,-0.16,2 -5 0 -10.0 10 2.4 30 20 312 216 10 50 45
09-2021,724.67,13.32,-6.64,51.25,99.42,142.0,45.0,97.0,31.69,-0.16,2 -5 0 -10.0 15 2.0 40 20 312 216 10 50 45
09-2021,705.76,7.61,-8.29,41.26,53.45,83.0,28.0,55.0,33.73,-0.33,2 -5 0 -10.0 5 2.8 20 20 312 216 10 50 45
09-2021,701.72,9.02,-6.23,47.27,93.81,149.0,48.0,101.0,32.21,-0.17,2 -5 0 -10.0 10 2.4 20 20 312 216 10 50 45
09-2021,692.16,9.68,-12.47,42.87,47.34,77.0,26.0,51.0,33.77,-0.38,2 -5 0 -10.0 10 2.8 20 20 312 216 10 50 45
09-2021,686.96,10.25,-9.78,39.69,46.44,71.0,24.0,47.0,33.8,-0.43,2 -5 0 -10.0 5 2.8 30 20 312 216 10 50 45
09-2021,685.27,13.34,-6.76,46.65,40.32,60.0,21.0,39.0,35.0,-0.51,2 -5 0 -10.0 15 2.8 40 20 312 216 10 50 45
09-2021,680.31,11.82,-4.61,48.26,122.41,180.0,58.0,122.0,32.22,-0.16,2 -5 0 -10.0 15 1.6 40 20 312 216 10 50 45
09-2021,676.85,11.37,-5.4,50.74,90.52,125.0,44.0,81.0,35.2,-0.25,2 -5 0 -10.0 15 2.4 30 20 312 216 10 50 45
09-2021,676.21,15.06,-11.53,44.83,50.1,74.0,27.0,47.0,36.49,-0.41,2 -5 0 -10.0 0 2.8 30 20 312 216 10 50 45
09-2021,671.29,10.39,-7.0,52.82,88.29,119.0,41.0,78.0,34.45,-0.25,2 -5 0 -10.0 5 2.4 40 20 312 216 10 50 45
09-2021,667.56,10.82,-4.32,47.43,140.94,220.0,75.0,145.0,34.09,-0.13,2 -5 0 -10.0 15 1.6 30 20 312 216 10 50 45
09-2021,664.81,11.64,-7.36,51.73,105.61,147.0,48.0,99.0,32.65,-0.21,2 -5 0 -10.0 5 2.4 30 20 312 216 10 50 45
09-2021,662.17,13.52,-6.37,47.06,114.41,183.0,58.0,125.0,31.69,-0.16,2 -5 0 -10.0 0 2.0 40 20 312 216 10 50 45
09-2021,641.73,11.64,-7.1,52.28,66.28,100.0,34.0,66.0,34.0,-0.37,2 -5 0 -10.0 15 2.4 40 20 312 216 10 50 45
09-2021,640.35,12.85,-7.36,57.78,111.42,152.0,49.0,103.0,32.24,-0.22,2 -5 0 -10.0 0 2.4 30 20 312 216 10 50 45
09-2021,635.26,9.81,-7.94,52.34,120.7,194.0,70.0,124.0,36.08,-0.17,2 -5 0 -10.0 10 2.0 30 20 312 216 10 50 45
09-2021,623.37,10.91,-3.71,46.46,129.95,215.0,67.0,148.0,31.16,-0.17,2 -5 0 -10.0 15 1.2 40 20 312 216 10 50 45
09-2021,619.98,9.24,-9.78,48.91,48.82,75.0,27.0,48.0,36.0,-0.55,2 -5 0 -10.0 10 2.8 30 20 312 216 10 50 45
09-2021,591.24,11.9,-6.57,52.34,105.64,173.0,57.0,116.0,32.95,-0.25,2 -5 0 -10.0 15 2.0 30 20 312 216 10 50 45
09-2021,590.59,11.64,-9.93,47.04,42.86,71.0,25.0,46.0,35.21,-0.65,2 -5 0 -10.0 15 2.8 30 20 312 216 10 50 45
09-2021,511.5,9.87,-7.78,61.31,82.24,145.0,40.0,105.0,27.59,-0.39,2 -5 0 -10.0 15 2.4 20 20 312 216 10 50 45
