mois,finalBalance,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,parametres
12-2021,851.9,8.49,-4.56,27.66,84.73,140.0,45.0,95.0,32.14,-0.06,2 -5 0 -10.0 20 2.0 20 20 312 216 10 50 45
12-2021,819.78,8.39,-2.89,27.81,102.64,170.0,55.0,115.0,32.35,-0.07,2 -5 0 -10.0 20 1.6 20 20 312 216 10 50 45
12-2021,808.89,12.7,-7.68,34.83,37.04,65.0,24.0,41.0,36.92,-0.24,2 -5 0 -10.0 20 2.8 20 20 312 216 10 50 45
12-2021,784.57,7.47,-6.16,28.66,66.77,108.0,37.0,71.0,34.26,-0.17,2 -5 0 -10.0 20 2.4 20 20 312 216 10 50 45
12-2021,776.2,7.45,-3.23,27.97,75.68,125.0,43.0,82.0,34.4,-0.15,2 -5 0 -10.0 20 2.0 30 20 312 216 10 50 45
12-2021,713.24,8.71,-3.08,36.66,98.4,187.0,56.0,131.0,29.95,-0.14,2 -5 0 -10.0 20 1.2 20 20 312 216 10 50 45
12-2021,709.51,8.93,-4.02,34.32,181.98,338.0,104.0,234.0,30.77,-0.06,2 -5 0 -10.0 15 1.2 20 20 312 216 10 50 45
12-2021,697.28,12.16,-8.38,31.16,42.1,75.0,25.0,50.0,33.33,-0.4,2 -5 0 -10.0 15 2.8 20 20 312 216 10 50 45
12-2021,685.8,7.27,-7.96,34.17,39.37,71.0,20.0,51.0,28.17,-0.47,2 -5 0 -10.0 20 2.8 30 20 312 216 10 50 45
12-2021,679.0,8.35,-4.87,36.57,72.94,128.0,41.0,87.0,32.03,-0.25,2 -5 0 -10.0 20 1.6 40 20 312 216 10 50 45
12-2021,669.32,7.89,-4.52,37.53,87.62,155.0,50.0,105.0,32.26,-0.21,2 -5 0 -10.0 20 1.6 30 20 312 216 10 50 45
12-2021,666.8,7.47,-6.49,38.94,59.85,107.0,35.0,72.0,32.71,-0.32,2 -5 0 -10.0 20 2.4 30 20 312 216 10 50 45
12-2021,645.78,7.49,-4.69,38.41,52.3,99.0,33.0,66.0,33.33,-0.39,2 -5 0 -10.0 20 2.4 40 20 312 216 10 50 45
12-2021,642.73,7.92,-5.69,40.3,62.44,115.0,35.0,80.0,30.43,-0.33,2 -5 0 -10.0 20 2.0 40 20 312 216 10 50 45
12-2021,637.0,8.4,-8.61,39.92,42.57,84.0,29.0,55.0,34.52,-0.45,2 -5 0 -10.0 0 2.8 20 20 312 216 10 50 45
12-2021,634.31,6.54,-9.62,37.76,37.53,72.0,20.0,52.0,27.78,-0.57,2 -5 0 -10.0 20 2.8 40 20 312 216 10 50 45
12-2021,612.61,7.41,-3.64,42.0,94.59,173.0,51.0,122.0,29.48,-0.23,2 -5 0 -10.0 15 2.0 40 20 312 216 10 50 45
12-2021,608.36,7.1,-3.84,42.01,77.39,150.0,46.0,104.0,30.67,-0.29,2 -5 0 -10.0 20 1.2 40 20 312 216 10 50 45
12-2021,604.7,5.85,-3.87,40.44,258.3,487.0,196.0,291.0,40.25,-0.07,2 -5 0 0.0 15 1.2 20 20 312 216 10 50 45
12-2021,602.26,9.94,-9.81,39.86,47.52,88.0,27.0,61.0,30.68,-0.5,2 -5 0 -10.0 15 2.8 40 20 312 216 10 50 45
12-2021,601.18,7.1,-3.33,42.86,87.64,170.0,46.0,124.0,27.06,-0.26,2 -5 0 -10.0 20 1.2 30 20 312 216 10 50 45
12-2021,599.05,8.73,-3.9,44.66,208.77,441.0,128.0,313.0,29.02,-0.07,2 -5 0 -10.0 10 1.2 20 20 312 216 10 50 45
12-2021,587.26,8.79,-4.29,45.0,154.58,298.0,78.0,220.0,26.17,-0.13,2 -5 0 -10.0 15 1.6 20 20 312 216 10 50 45
12-2021,586.09,5.82,-3.86,41.72,242.47,468.0,193.0,275.0,41.24,-0.08,2 -5 0 0.0 15 1.6 40 20 312 216 10 50 45
12-2021,584.51,5.82,-3.86,41.93,242.51,470.0,194.0,276.0,41.28,-0.08,2 -5 0 0.0 15 1.2 40 20 312 216 10 50 45
12-2021,581.35,5.82,-3.86,42.24,245.61,471.0,196.0,275.0,41.61,-0.08,2 -5 0 0.0 15 1.6 30 20 312 216 10 50 45
12-2021,574.99,8.97,-3.76,45.36,72.0,135.0,37.0,98.0,27.41,-0.35,2 -5 0 -10.0 15 2.4 40 20 312 216 10 50 45
12-2021,568.76,8.97,-4.15,46.59,132.33,272.0,76.0,196.0,27.94,-0.16,2 -5 0 -10.0 15 1.2 30 20 312 216 10 50 45
12-2021,561.29,7.87,-3.22,47.33,104.09,197.0,59.0,138.0,29.95,-0.25,2 -5 0 -10.0 15 1.6 40 20 312 216 10 50 45
12-2021,557.17,5.9,-3.86,44.64,238.62,474.0,195.0,279.0,41.14,-0.08,2 -5 0 0.0 15 1.2 30 20 312 216 10 50 45
12-2021,556.01,7.1,-4.51,47.8,107.21,220.0,63.0,157.0,28.64,-0.22,2 -5 0 -10.0 15 1.2 40 20 312 216 10 50 45
12-2021,553.44,10.74,-9.78,48.08,46.81,100.0,27.0,73.0,27.0,-0.51,2 -5 0 -10.0 5 2.8 40 20 312 216 10 50 45
12-2021,547.57,8.95,-5.77,49.15,122.8,271.0,83.0,188.0,30.63,-0.17,2 -5 0 -10.0 0 1.6 40 20 312 216 10 50 45
12-2021,545.2,5.62,-3.87,45.84,244.32,481.0,192.0,289.0,39.92,-0.09,2 -5 0 0.0 15 1.6 20 20 312 216 10 50 45
12-2021,534.67,7.44,-4.18,49.53,85.26,168.0,44.0,124.0,26.19,-0.32,2 -5 0 -10.0 15 2.4 20 20 312 216 10 50 45
12-2021,526.98,7.44,-4.76,51.99,74.34,149.0,42.0,107.0,28.19,-0.38,2 -5 0 -10.0 15 2.4 30 20 312 216 10 50 45
12-2021,526.98,9.58,-4.05,55.83,212.38,531.0,146.0,385.0,27.5,-0.08,2 -5 0 -10.0 0 1.2 20 20 312 216 10 50 45
12-2021,522.16,9.12,-8.28,48.05,46.63,96.0,30.0,66.0,31.25,-0.61,2 -5 0 -10.0 15 2.8 30 20 312 216 10 50 45
12-2021,520.1,12.1,-10.2,50.56,45.79,100.0,27.0,73.0,27.0,-0.57,2 -5 0 -10.0 0 2.8 40 20 312 216 10 50 45
12-2021,516.99,9.05,-4.95,51.57,131.63,308.0,86.0,222.0,27.92,-0.17,2 -5 0 -10.0 5 1.2 40 20 312 216 10 50 45
12-2021,516.9,7.47,-5.14,56.21,133.72,321.0,93.0,228.0,28.97,-0.16,2 -5 0 -10.0 0 1.2 40 20 312 216 10 50 45
12-2021,513.63,8.6,-4.44,52.34,174.28,377.0,107.0,270.0,28.38,-0.13,2 -5 0 -10.0 10 1.6 20 20 312 216 10 50 45
12-2021,512.22,5.68,-3.29,50.25,289.89,651.0,267.0,384.0,41.01,-0.06,2 -5 0 0.0 10 2.0 30 20 312 216 10 50 45
12-2021,511.93,5.79,-2.7,50.28,294.36,658.0,271.0,387.0,41.19,-0.06,2 -5 0 0.0 10 1.6 30 20 312 216 10 50 45
12-2021,509.1,9.88,-9.92,51.25,43.08,92.0,25.0,67.0,27.17,-0.65,2 -5 0 -10.0 10 2.8 40 20 312 216 10 50 45
12-2021,508.52,7.84,-6.46,52.45,115.95,235.0,68.0,167.0,28.94,-0.24,2 -5 0 -10.0 15 1.6 30 20 312 216 10 50 45
12-2021,499.74,5.79,-3.29,51.47,288.62,651.0,266.0,385.0,40.86,-0.07,2 -5 0 0.0 10 1.6 40 20 312 216 10 50 45
12-2021,499.46,8.49,-5.41,52.08,113.36,235.0,73.0,162.0,31.06,-0.25,2 -5 0 -10.0 10 1.6 40 20 312 216 10 50 45
12-2021,498.9,9.58,-4.06,54.62,206.53,511.0,138.0,373.0,27.01,-0.09,2 -5 0 -10.0 5 1.2 20 20 312 216 10 50 45
12-2021,498.7,7.41,-6.46,53.23,93.0,196.0,61.0,135.0,31.12,-0.31,2 -5 0 -10.0 15 2.0 30 20 312 216 10 50 45
12-2021,495.46,9.62,-4.16,53.82,146.86,345.0,94.0,251.0,27.25,-0.16,2 -5 0 -10.0 10 1.2 30 20 312 216 10 50 45
12-2021,495.19,8.97,-5.47,51.53,113.12,263.0,79.0,184.0,30.04,-0.22,2 -5 0 -10.0 5 1.6 40 20 312 216 10 50 45
12-2021,494.49,7.41,-3.92,53.34,99.81,226.0,71.0,155.0,31.42,-0.26,2 -5 0 -10.0 5 2.0 40 20 312 216 10 50 45
12-2021,493.06,5.79,-2.81,52.11,284.62,653.0,266.0,387.0,40.74,-0.07,2 -5 0 0.0 10 1.2 40 20 312 216 10 50 45
12-2021,491.72,5.68,-3.52,52.24,283.57,647.0,263.0,384.0,40.65,-0.07,2 -5 0 0.0 10 2.4 40 20 312 216 10 50 45
12-2021,489.89,7.22,-4.56,53.1,123.18,279.0,79.0,200.0,28.32,-0.21,2 -5 0 -10.0 10 1.2 40 20 312 216 10 50 45
12-2021,485.04,5.68,-3.52,52.89,277.1,641.0,257.0,384.0,40.09,-0.07,2 -5 0 0.0 10 2.8 30 20 312 216 10 50 45
12-2021,484.99,5.68,-3.87,52.9,283.01,649.0,263.0,386.0,40.52,-0.07,2 -5 0 0.0 10 2.0 40 20 312 216 10 50 45
12-2021,483.41,5.68,-3.52,53.05,278.29,643.0,258.0,385.0,40.12,-0.07,2 -5 0 0.0 10 2.8 20 20 312 216 10 50 45
12-2021,482.21,5.68,-3.52,53.17,281.01,653.0,265.0,388.0,40.58,-0.07,2 -5 0 0.0 10 2.4 20 20 312 216 10 50 45
12-2021,481.41,11.49,-7.82,54.89,37.79,89.0,25.0,64.0,28.09,-0.74,2 -5 0 -10.0 0 2.8 30 20 312 216 10 50 45
12-2021,481.35,5.68,-3.87,53.25,278.79,645.0,261.0,384.0,40.47,-0.07,2 -5 0 0.0 10 2.4 30 20 312 216 10 50 45
12-2021,479.16,8.0,-8.29,52.55,41.52,90.0,26.0,64.0,28.89,-0.74,2 -5 0 -10.0 5 2.8 20 20 312 216 10 50 45
12-2021,478.91,5.68,-3.52,53.49,276.74,643.0,258.0,385.0,40.12,-0.08,2 -5 0 0.0 10 2.8 40 20 312 216 10 50 45
12-2021,478.86,5.93,-2.57,53.49,285.12,661.0,269.0,392.0,40.7,-0.07,2 -5 0 0.0 10 1.2 30 20 312 216 10 50 45
12-2021,476.7,5.91,-3.77,53.64,309.98,697.0,273.0,424.0,39.17,-0.07,2 -5 0 0.0 10 1.2 20 20 312 216 10 50 45
12-2021,475.66,5.68,-2.85,53.74,292.79,666.0,274.0,392.0,41.14,-0.07,2 -5 0 0.0 10 2.0 20 20 312 216 10 50 45
12-2021,469.85,7.41,-4.9,56.97,108.56,263.0,81.0,182.0,30.8,-0.24,2 -5 0 -10.0 0 2.0 30 20 312 216 10 50 45
12-2021,465.63,11.34,-8.36,55.27,40.89,92.0,23.0,69.0,25.0,-0.75,2 -5 0 -10.0 5 2.8 30 20 312 216 10 50 45
12-2021,463.99,8.62,-4.07,54.52,70.38,154.0,38.0,116.0,24.68,-0.44,2 -5 0 -10.0 10 2.4 40 20 312 216 10 50 45
12-2021,462.2,8.68,-6.43,56.67,104.77,238.0,61.0,177.0,25.63,-0.28,2 -5 0 -10.0 15 2.0 20 20 312 216 10 50 45
12-2021,460.09,7.41,-6.66,56.88,100.27,236.0,74.0,162.0,31.36,-0.28,2 -5 0 -10.0 10 2.0 30 20 312 216 10 50 45
12-2021,457.61,5.69,-3.77,55.5,290.39,676.0,271.0,405.0,40.09,-0.08,2 -5 0 0.0 10 1.6 20 20 312 216 10 50 45
12-2021,455.31,7.84,-6.68,57.47,126.69,289.0,83.0,206.0,28.72,-0.23,2 -5 0 -10.0 10 1.6 30 20 312 216 10 50 45
12-2021,445.21,8.99,-5.9,59.47,141.63,339.0,92.0,247.0,27.14,-0.19,2 -5 0 -10.0 0 1.6 30 20 312 216 10 50 45
12-2021,441.45,5.69,-3.32,61.66,339.77,845.0,345.0,500.0,40.83,-0.06,2 -5 0 0.0 0 2.0 30 20 312 216 10 50 45
12-2021,440.05,7.84,-8.73,56.41,33.49,79.0,23.0,56.0,29.11,-0.95,2 -5 0 -10.0 10 2.8 20 20 312 216 10 50 45
12-2021,439.71,7.41,-4.9,58.45,108.19,257.0,79.0,178.0,30.74,-0.27,2 -5 0 -10.0 5 2.0 30 20 312 216 10 50 45
12-2021,438.35,7.41,-5.43,57.42,92.42,208.0,65.0,143.0,31.25,-0.35,2 -5 0 -10.0 10 2.0 40 20 312 216 10 50 45
12-2021,436.58,5.69,-3.81,60.74,359.73,876.0,352.0,524.0,40.18,-0.06,2 -5 0 0.0 0 1.6 20 20 312 216 10 50 45
12-2021,435.93,5.93,-2.64,60.94,344.68,858.0,354.0,504.0,41.26,-0.06,2 -5 0 0.0 0 1.6 30 20 312 216 10 50 45
12-2021,435.22,5.69,-3.0,60.22,356.24,862.0,360.0,502.0,41.76,-0.06,2 -5 0 0.0 0 2.0 20 20 312 216 10 50 45
12-2021,434.6,5.78,-3.32,61.51,335.83,848.0,349.0,499.0,41.16,-0.06,2 -5 0 0.0 0 1.6 40 20 312 216 10 50 45
12-2021,431.03,5.93,-2.6,61.35,345.99,869.0,357.0,512.0,41.08,-0.06,2 -5 0 0.0 0 1.2 30 20 312 216 10 50 45
12-2021,430.59,7.41,-5.44,58.8,89.48,227.0,72.0,155.0,31.72,-0.32,2 -5 0 -10.0 0 2.0 40 20 312 216 10 50 45
12-2021,428.79,5.69,-3.56,62.97,338.24,844.0,345.0,499.0,40.88,-0.06,2 -5 0 0.0 0 2.4 20 20 312 216 10 50 45
12-2021,428.13,8.99,-3.21,59.53,133.36,327.0,89.0,238.0,27.22,-0.21,2 -5 0 -10.0 5 1.6 30 20 312 216 10 50 45
12-2021,424.82,5.69,-4.29,63.3,327.62,835.0,340.0,495.0,40.72,-0.06,2 -5 0 0.0 0 2.8 20 20 312 216 10 50 45
12-2021,424.69,5.9,-3.81,61.67,362.78,914.0,358.0,556.0,39.17,-0.06,2 -5 0 0.0 0 1.2 20 20 312 216 10 50 45
