mois,finalBalance,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,parametres
12-2021,422.92,5.69,-3.57,63.13,330.12,834.0,339.0,495.0,40.65,-0.06,2 -5 0 0.0 0 2.8 30 20 312 216 10 50 45
12-2021,422.29,5.79,-3.32,60.58,302.05,779.0,320.0,459.0,41.08,-0.07,2 -5 0 0.0 5 1.6 40 20 312 216 10 50 45
12-2021,421.19,8.33,-2.69,60.33,153.32,411.0,109.0,302.0,26.52,-0.17,2 -5 0 -10.0 0 1.2 30 20 312 216 10 50 45
12-2021,420.34,5.81,-2.71,62.66,336.58,859.0,347.0,512.0,40.4,-0.06,2 -5 0 0.0 0 1.2 40 20 312 216 10 50 45
12-2021,417.54,5.69,-3.32,61.66,296.68,775.0,317.0,458.0,40.9,-0.07,2 -5 0 0.0 5 2.0 30 20 312 216 10 50 45
12-2021,415.19,9.51,-8.36,60.01,38.43,93.0,22.0,71.0,23.66,-0.87,2 -5 0 -10.0 10 2.8 30 20 312 216 10 50 45
12-2021,415.19,5.82,-2.71,61.04,301.76,785.0,321.0,464.0,40.89,-0.07,2 -5 0 0.0 5 1.2 40 20 312 216 10 50 45
12-2021,414.89,5.91,-3.82,60.85,336.42,849.0,339.0,510.0,39.93,-0.07,2 -5 0 0.0 5 1.2 20 20 312 216 10 50 45
12-2021,414.63,5.69,-3.57,63.92,326.87,841.0,342.0,499.0,40.67,-0.07,2 -5 0 0.0 0 2.4 40 20 312 216 10 50 45
12-2021,412.19,5.69,-4.29,64.09,321.59,835.0,339.0,496.0,40.6,-0.07,2 -5 0 0.0 0 2.8 40 20 312 216 10 50 45
12-2021,411.3,5.69,-3.93,62.17,296.34,774.0,319.0,455.0,41.21,-0.08,2 -5 0 0.0 5 2.0 40 20 312 216 10 50 45
12-2021,410.51,5.69,-3.93,64.16,323.74,842.0,343.0,499.0,40.74,-0.07,2 -5 0 0.0 0 2.0 40 20 312 216 10 50 45
12-2021,404.89,5.69,-3.93,64.69,322.29,839.0,341.0,498.0,40.64,-0.07,2 -5 0 0.0 0 2.4 30 20 312 216 10 50 45
12-2021,403.58,5.69,-4.29,63.21,288.59,766.0,312.0,454.0,40.73,-0.08,2 -5 0 0.0 5 2.8 20 20 312 216 10 50 45
12-2021,402.92,5.69,-3.57,62.89,291.6,763.0,310.0,453.0,40.63,-0.08,2 -5 0 0.0 5 2.8 30 20 312 216 10 50 45
12-2021,398.48,5.79,-2.6,62.33,301.89,793.0,322.0,471.0,40.61,-0.08,2 -5 0 0.0 5 1.6 30 20 312 216 10 50 45
12-2021,397.69,7.44,-7.46,61.55,69.06,165.0,45.0,120.0,27.27,-0.5,2 -5 0 -10.0 10 2.4 30 20 312 216 10 50 45
12-2021,396.24,5.69,-3.57,63.57,288.19,771.0,313.0,458.0,40.6,-0.08,2 -5 0 0.0 5 2.4 40 20 312 216 10 50 45
12-2021,394.96,5.69,-3.56,63.83,294.93,777.0,316.0,461.0,40.67,-0.08,2 -5 0 0.0 5 2.4 20 20 312 216 10 50 45
12-2021,393.55,7.44,-7.46,65.28,74.71,196.0,56.0,140.0,28.57,-0.42,2 -5 0 -10.0 5 2.4 20 20 312 216 10 50 45
12-2021,391.25,5.69,-3.75,63.04,311.46,819.0,327.0,492.0,39.93,-0.08,2 -5 0 0.0 5 1.6 20 20 312 216 10 50 45
12-2021,390.2,5.69,-4.29,64.08,283.01,765.0,310.0,455.0,40.52,-0.08,2 -5 0 0.0 5 2.8 40 20 312 216 10 50 45
12-2021,388.11,8.22,-2.71,63.84,143.64,393.0,105.0,288.0,26.72,-0.2,2 -5 0 -10.0 5 1.2 30 20 312 216 10 50 45
12-2021,387.59,9.22,-2.51,63.82,170.49,444.0,110.0,334.0,24.77,-0.17,2 -5 0 -10.0 5 1.6 20 20 312 216 10 50 45
12-2021,385.33,5.69,-3.93,64.57,284.18,769.0,312.0,457.0,40.57,-0.08,2 -5 0 0.0 5 2.4 30 20 312 216 10 50 45
12-2021,383.72,9.18,-4.33,64.19,169.19,468.0,119.0,349.0,25.43,-0.16,2 -5 0 -10.0 0 1.6 20 20 312 216 10 50 45
12-2021,382.46,5.93,-2.79,63.81,299.06,806.0,327.0,479.0,40.57,-0.08,2 -5 0 0.0 5 1.2 30 20 312 216 10 50 45
12-2021,379.95,7.44,-7.46,66.26,73.0,200.0,60.0,140.0,30.0,-0.43,2 -5 0 -10.0 0 2.4 20 20 312 216 10 50 45
12-2021,378.68,5.69,-3.0,63.72,302.52,802.0,326.0,476.0,40.65,-0.08,2 -5 0 0.0 5 2.0 20 20 312 216 10 50 45
12-2021,378.3,8.61,-4.75,62.5,71.01,170.0,46.0,124.0,27.06,-0.51,2 -5 0 -10.0 0 2.4 40 20 312 216 10 50 45
12-2021,363.59,8.61,-4.75,64.51,69.21,171.0,45.0,126.0,26.32,-0.54,2 -5 0 -10.0 5 2.4 40 20 312 216 10 50 45
12-2021,340.03,8.7,-5.43,67.31,110.51,307.0,81.0,226.0,26.38,-0.31,2 -5 0 -10.0 10 2.0 20 20 312 216 10 50 45
12-2021,330.9,9.22,-5.94,67.87,118.67,359.0,94.0,265.0,26.18,-0.26,2 -5 0 -10.0 0 2.0 20 20 312 216 10 50 45
12-2021,328.36,9.22,-5.24,68.31,122.73,343.0,89.0,254.0,25.95,-0.28,2 -5 0 -10.0 5 2.0 20 20 312 216 10 50 45
12-2021,315.53,7.44,-7.97,68.69,66.71,187.0,51.0,136.0,27.27,-0.56,2 -5 0 -10.0 0 2.4 30 20 312 216 10 50 45
12-2021,314.53,7.44,-7.97,69.56,66.78,180.0,48.0,132.0,26.67,-0.59,2 -5 0 -10.0 5 2.4 30 20 312 216 10 50 45
12-2021,305.46,7.44,-7.46,70.72,68.43,199.0,53.0,146.0,26.63,-0.54,2 -5 0 -10.0 10 2.4 20 20 312 216 10 50 45
