mois,finalBalance,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,parametres
11-2021,1237.77,57.98,-13.06,23.52,52.36,60.0,23.0,37.0,38.33,0.66,2 -5 0 -10.0 20 2.8 30 20 312 216 10 50 45
11-2021,1221.85,25.91,-4.67,23.31,225.99,280.0,88.0,192.0,31.43,0.14,2 -5 0 -10.0 10 1.2 40 20 312 216 10 50 45
11-2021,1212.83,26.65,-4.77,21.03,149.31,164.0,45.0,119.0,27.44,0.2,2 -5 0 -10.0 20 1.2 40 20 312 216 10 50 45
11-2021,1212.81,17.68,-4.8,25.47,220.73,256.0,81.0,175.0,31.64,0.14,2 -5 0 -10.0 5 1.6 40 20 312 216 10 50 45
11-2021,1196.69,18.39,-7.61,20.61,155.28,177.0,60.0,117.0,33.9,0.18,2 -5 0 -10.0 0 2.4 20 20 312 216 10 50 45
11-2021,1191.55,14.92,-5.33,19.46,110.41,132.0,45.0,87.0,34.09,0.2,2 -5 0 -10.0 20 2.0 30 20 312 216 10 50 45
11-2021,1168.68,18.18,-4.17,17.74,232.13,283.0,89.0,194.0,31.45,0.11,2 -5 0 -10.0 10 2.0 20 20 312 216 10 50 45
11-2021,1126.47,18.12,-6.03,22.24,118.93,155.0,51.0,104.0,32.9,0.15,2 -5 0 -10.0 5 2.4 30 20 312 216 10 50 45
11-2021,1105.41,18.64,-3.85,28.22,147.55,185.0,58.0,127.0,31.35,0.12,2 -5 0 -10.0 20 1.6 20 20 312 216 10 50 45
11-2021,1078.47,14.38,-3.65,29.08,254.4,314.0,96.0,218.0,30.57,0.08,2 -5 0 -10.0 0 1.2 40 20 312 216 10 50 45
11-2021,1070.09,13.63,-12.22,28.3,49.31,74.0,24.0,50.0,32.43,0.21,2 -5 0 -10.0 15 2.8 40 20 312 216 10 50 45
11-2021,1055.55,17.2,-3.86,24.95,143.51,186.0,56.0,130.0,30.11,0.09,2 -5 0 -10.0 20 1.2 30 20 312 216 10 50 45
11-2021,1037.33,10.8,-3.88,20.96,76.08,113.0,49.0,64.0,43.36,0.1,2 -5 0 -10.0 15 2.4 40 20 312 216 10 50 45
11-2021,1034.22,18.75,-3.1,36.21,388.12,454.0,147.0,307.0,32.38,0.06,2 -5 0 -10.0 5 1.6 20 20 312 216 10 50 45
11-2021,1023.49,16.26,-4.32,23.81,123.83,162.0,52.0,110.0,32.1,0.08,2 -5 0 -10.0 20 1.6 30 20 312 216 10 50 45
11-2021,1021.66,20.07,-3.31,21.22,162.41,233.0,75.0,158.0,32.19,0.07,2 -5 0 -10.0 15 2.0 20 20 312 216 10 50 45
11-2021,1016.52,19.49,-4.37,23.32,124.84,162.0,45.0,117.0,27.78,0.07,2 -5 0 -10.0 20 2.0 20 20 312 216 10 50 45
11-2021,996.98,10.74,-3.46,27.12,161.85,215.0,67.0,148.0,31.16,0.05,2 -5 0 -10.0 20 1.2 20 20 312 216 10 50 45
11-2021,979.85,19.21,-4.44,37.7,203.41,288.0,93.0,195.0,32.29,0.05,2 -5 0 -10.0 15 1.2 30 20 312 216 10 50 45
11-2021,978.46,14.93,-8.8,24.27,49.08,79.0,28.0,51.0,35.44,0.07,2 -5 0 -10.0 15 2.8 30 20 312 216 10 50 45
11-2021,977.51,19.31,-3.77,25.21,308.85,389.0,118.0,271.0,30.33,0.05,2 -5 0 -10.0 5 1.2 30 20 312 216 10 50 45
11-2021,956.28,24.39,-9.11,32.04,246.7,332.0,102.0,230.0,30.72,0.05,2 -5 0 -10.0 0 1.6 30 20 312 216 10 50 45
11-2021,945.3,7.92,-3.85,20.51,83.39,130.0,50.0,80.0,38.46,0.02,2 -5 0 -10.0 15 2.4 30 20 312 216 10 50 45
11-2021,944.34,7.89,-5.27,24.28,89.63,141.0,45.0,96.0,31.91,0.02,2 -5 0 -10.0 10 2.4 30 20 312 216 10 50 45
11-2021,929.54,18.76,-12.22,26.05,52.66,82.0,29.0,53.0,35.37,0.03,2 -5 0 -10.0 5 2.8 40 20 312 216 10 50 45
11-2021,926.16,18.23,-9.11,43.9,152.32,242.0,76.0,166.0,31.4,0.03,2 -5 0 -10.0 15 1.6 30 20 312 216 10 50 45
11-2021,913.88,20.01,-6.38,30.81,356.18,479.0,148.0,331.0,30.9,0.03,2 -5 0 -10.0 0 1.6 20 20 312 216 10 50 45
11-2021,897.0,24.38,-3.56,38.65,340.52,410.0,118.0,292.0,28.78,0.03,2 -5 0 -10.0 0 1.2 30 20 312 216 10 50 45
11-2021,895.04,18.62,-5.96,30.26,118.04,160.0,55.0,105.0,34.38,0.01,2 -5 0 -10.0 5 2.4 20 20 312 216 10 50 45
11-2021,889.24,10.62,-4.69,30.96,220.77,310.0,107.0,203.0,34.52,0.02,2 -5 0 -10.0 5 2.0 20 20 312 216 10 50 45
11-2021,888.6,43.78,-5.88,38.19,95.68,136.0,42.0,94.0,30.88,0.03,2 -5 0 -10.0 0 2.4 40 20 312 216 10 50 45
11-2021,871.59,42.99,-6.2,33.01,91.92,132.0,40.0,92.0,30.3,0.01,2 -5 0 -10.0 10 2.4 40 20 312 216 10 50 45
11-2021,852.28,6.68,-7.81,18.06,64.49,99.0,30.0,69.0,30.3,-0.1,2 -5 0 -10.0 20 2.4 30 20 312 216 10 50 45
11-2021,851.63,18.76,-12.12,26.52,51.31,84.0,27.0,57.0,32.14,-0.08,2 -5 0 -10.0 0 2.8 40 20 312 216 10 50 45
11-2021,847.31,17.59,-12.22,31.35,47.12,82.0,27.0,55.0,32.93,-0.08,2 -5 0 -10.0 10 2.8 40 20 312 216 10 50 45
11-2021,832.14,9.07,-5.61,27.95,95.61,153.0,49.0,104.0,32.03,-0.06,2 -5 0 -10.0 15 2.4 20 20 312 216 10 50 45
11-2021,821.38,18.52,-3.17,40.21,298.84,419.0,125.0,294.0,29.83,0.01,2 -5 0 -10.0 10 1.6 20 20 312 216 10 50 45
11-2021,813.98,10.03,-13.86,29.82,69.27,114.0,38.0,76.0,33.33,-0.12,2 -5 0 -10.0 20 2.4 20 20 312 216 10 50 45
11-2021,813.54,5.0,-2.38,27.81,379.92,555.0,232.0,323.0,41.8,0.0,2 -5 0 0.0 15 1.2 20 20 312 216 10 50 45
11-2021,806.35,11.13,-7.93,33.56,232.37,362.0,103.0,259.0,28.45,-0.01,2 -5 0 -10.0 10 1.2 30 20 312 216 10 50 45
11-2021,804.88,42.3,-6.27,40.99,97.45,143.0,38.0,105.0,26.57,-0.03,2 -5 0 -10.0 5 2.4 40 20 312 216 10 50 45
11-2021,789.03,4.97,-4.15,29.33,357.42,535.0,231.0,304.0,43.18,-0.01,2 -5 0 0.0 15 2.0 20 20 312 216 10 50 45
11-2021,785.05,4.97,-2.74,28.23,361.8,545.0,230.0,315.0,42.2,-0.01,2 -5 0 0.0 15 1.6 20 20 312 216 10 50 45
11-2021,780.49,4.96,-2.88,28.91,350.94,536.0,230.0,306.0,42.91,-0.01,2 -5 0 0.0 15 1.2 30 20 312 216 10 50 45
11-2021,779.11,14.35,-9.11,35.25,194.71,320.0,108.0,212.0,33.75,-0.02,2 -5 0 -10.0 5 1.6 30 20 312 216 10 50 45
11-2021,777.08,20.38,-3.05,44.57,213.69,320.0,96.0,224.0,30.0,-0.03,2 -5 0 -10.0 15 1.6 20 20 312 216 10 50 45
11-2021,754.52,10.87,-2.83,43.42,421.13,588.0,178.0,410.0,30.27,-0.0,2 -5 0 -10.0 0 1.2 20 20 312 216 10 50 45
11-2021,750.06,5.03,-3.97,31.37,342.23,525.0,225.0,300.0,42.86,-0.02,2 -5 0 0.0 15 2.4 40 20 312 216 10 50 45
11-2021,749.92,23.85,-8.9,45.11,43.51,85.0,30.0,55.0,35.29,-0.21,2 -5 0 -10.0 0 2.8 30 20 312 216 10 50 45
11-2021,741.61,5.01,-3.97,32.62,338.4,528.0,227.0,301.0,42.99,-0.02,2 -5 0 0.0 15 2.8 20 20 312 216 10 50 45
11-2021,740.14,4.97,-4.05,33.66,339.38,532.0,229.0,303.0,43.05,-0.02,2 -5 0 0.0 15 1.6 30 20 312 216 10 50 45
11-2021,738.41,4.96,-3.97,33.77,338.57,528.0,227.0,301.0,42.99,-0.02,2 -5 0 0.0 15 1.6 40 20 312 216 10 50 45
11-2021,737.2,4.96,-4.26,34.03,340.58,530.0,231.0,299.0,43.58,-0.02,2 -5 0 0.0 15 1.2 40 20 312 216 10 50 45
11-2021,735.47,4.97,-3.97,33.85,338.89,527.0,227.0,300.0,43.07,-0.02,2 -5 0 0.0 15 2.0 40 20 312 216 10 50 45
11-2021,731.71,5.03,-3.97,32.75,336.73,529.0,226.0,303.0,42.72,-0.02,2 -5 0 0.0 15 2.4 20 20 312 216 10 50 45
11-2021,731.3,29.19,-8.4,45.32,40.37,80.0,32.0,48.0,40.0,-0.27,2 -5 0 -10.0 5 2.8 30 20 312 216 10 50 45
11-2021,718.77,5.03,-3.97,34.23,332.96,526.0,225.0,301.0,42.78,-0.02,2 -5 0 0.0 15 2.4 30 20 312 216 10 50 45
11-2021,715.91,5.03,-3.97,34.31,332.4,527.0,226.0,301.0,42.88,-0.02,2 -5 0 0.0 15 2.0 30 20 312 216 10 50 45
11-2021,704.13,11.04,-9.39,41.72,179.0,303.0,88.0,215.0,29.04,-0.06,2 -5 0 -10.0 10 1.6 30 20 312 216 10 50 45
11-2021,695.08,11.15,-3.84,47.78,224.14,383.0,110.0,273.0,28.72,-0.05,2 -5 0 -10.0 15 1.2 20 20 312 216 10 50 45
11-2021,683.47,11.07,-2.76,44.28,380.35,567.0,172.0,395.0,30.34,-0.02,2 -5 0 -10.0 5 1.2 20 20 312 216 10 50 45
11-2021,665.6,8.67,-7.46,41.65,91.48,164.0,55.0,109.0,33.54,-0.19,2 -5 0 -10.0 10 2.4 20 20 312 216 10 50 45
11-2021,620.38,5.03,-3.94,40.81,419.91,747.0,319.0,428.0,42.7,-0.02,2 -5 0 0.0 10 2.4 20 20 312 216 10 50 45
11-2021,607.25,4.96,-4.01,42.47,425.35,753.0,326.0,427.0,43.29,-0.03,2 -5 0 0.0 10 1.2 40 20 312 216 10 50 45
11-2021,604.0,4.96,-3.78,42.16,431.67,764.0,329.0,435.0,43.06,-0.03,2 -5 0 0.0 10 1.2 30 20 312 216 10 50 45
11-2021,600.32,4.8,-3.78,42.96,415.23,752.0,320.0,432.0,42.55,-0.03,2 -5 0 0.0 10 1.6 30 20 312 216 10 50 45
11-2021,600.18,4.8,-4.07,43.62,418.42,744.0,319.0,425.0,42.88,-0.03,2 -5 0 0.0 10 2.0 40 20 312 216 10 50 45
11-2021,594.73,5.03,-3.94,43.09,412.66,747.0,319.0,428.0,42.7,-0.03,2 -5 0 0.0 10 2.0 30 20 312 216 10 50 45
11-2021,589.79,5.03,-4.05,43.55,411.49,743.0,316.0,427.0,42.53,-0.03,2 -5 0 0.0 10 2.4 40 20 312 216 10 50 45
11-2021,580.88,5.03,-4.05,44.58,412.22,743.0,316.0,427.0,42.53,-0.03,2 -5 0 0.0 10 2.8 40 20 312 216 10 50 45
11-2021,576.95,4.8,-4.11,45.32,421.09,751.0,317.0,434.0,42.21,-0.03,2 -5 0 0.0 10 1.6 40 20 312 216 10 50 45
11-2021,576.85,5.03,-4.05,44.98,410.61,743.0,316.0,427.0,42.53,-0.03,2 -5 0 0.0 10 2.8 30 20 312 216 10 50 45
11-2021,573.99,4.8,-3.94,45.28,427.25,768.0,322.0,446.0,41.93,-0.03,2 -5 0 0.0 10 2.0 20 20 312 216 10 50 45
11-2021,569.84,5.03,-4.05,45.46,407.48,743.0,316.0,427.0,42.53,-0.04,2 -5 0 0.0 10 2.4 30 20 312 216 10 50 45
11-2021,569.13,10.11,-3.98,47.94,282.71,508.0,153.0,355.0,30.12,-0.07,2 -5 0 -10.0 10 1.2 20 20 312 216 10 50 45
11-2021,563.99,4.84,-4.05,46.52,411.11,746.0,317.0,429.0,42.49,-0.04,2 -5 0 0.0 10 2.8 20 20 312 216 10 50 45
11-2021,549.88,6.54,-4.05,46.68,417.03,778.0,327.0,451.0,42.03,-0.04,2 -5 0 0.0 10 1.6 20 20 312 216 10 50 45
11-2021,544.63,14.9,-11.57,46.54,32.32,73.0,24.0,49.0,32.88,-0.72,2 -5 0 -10.0 10 2.8 30 20 312 216 10 50 45
11-2021,521.06,6.55,-3.63,49.15,426.18,803.0,331.0,472.0,41.22,-0.04,2 -5 0 0.0 10 1.2 20 20 312 216 10 50 45
11-2021,505.33,10.35,-3.64,50.54,486.28,977.0,397.0,580.0,40.63,-0.03,2 -5 0 0.0 5 1.2 20 20 312 216 10 50 45
11-2021,478.52,10.51,-4.37,53.31,448.34,927.0,382.0,545.0,41.21,-0.04,2 -5 0 0.0 5 2.0 20 20 312 216 10 50 45
11-2021,478.22,8.25,-3.14,53.34,446.34,930.0,391.0,539.0,42.04,-0.04,2 -5 0 0.0 5 1.2 30 20 312 216 10 50 45
11-2021,475.29,10.58,-4.88,53.9,446.25,949.0,395.0,554.0,41.62,-0.04,2 -5 0 0.0 5 1.6 20 20 312 216 10 50 45
11-2021,475.28,10.51,-4.55,53.62,440.71,906.0,375.0,531.0,41.39,-0.04,2 -5 0 0.0 5 1.6 40 20 312 216 10 50 45
11-2021,471.64,10.51,-3.97,53.98,441.81,902.0,370.0,532.0,41.02,-0.04,2 -5 0 0.0 5 2.4 20 20 312 216 10 50 45
11-2021,467.46,10.75,-3.59,55.37,488.19,986.0,401.0,585.0,40.67,-0.04,2 -5 0 0.0 0 2.0 20 20 312 216 10 50 45
11-2021,456.29,10.51,-5.3,55.48,433.56,917.0,373.0,544.0,40.68,-0.05,2 -5 0 0.0 5 1.6 30 20 312 216 10 50 45
11-2021,445.02,10.51,-4.55,56.58,422.13,897.0,367.0,530.0,40.91,-0.05,2 -5 0 0.0 5 2.4 40 20 312 216 10 50 45
11-2021,440.34,10.69,-4.1,58.13,467.57,965.0,393.0,572.0,40.73,-0.05,2 -5 0 0.0 0 2.4 20 20 312 216 10 50 45
11-2021,434.84,10.51,-4.61,57.58,425.6,897.0,366.0,531.0,40.8,-0.05,2 -5 0 0.0 5 2.8 20 20 312 216 10 50 45
11-2021,434.4,10.51,-4.55,57.61,422.92,899.0,368.0,531.0,40.93,-0.05,2 -5 0 0.0 5 2.0 40 20 312 216 10 50 45
11-2021,432.63,10.51,-4.55,57.78,422.5,896.0,366.0,530.0,40.85,-0.05,2 -5 0 0.0 5 2.8 40 20 312 216 10 50 45
11-2021,429.77,10.51,-4.55,58.06,421.48,898.0,368.0,530.0,40.98,-0.05,2 -5 0 0.0 5 2.4 30 20 312 216 10 50 45
11-2021,429.56,10.75,-3.64,58.92,455.53,968.0,396.0,572.0,40.91,-0.05,2 -5 0 0.0 0 1.6 40 20 312 216 10 50 45
11-2021,427.74,10.51,-4.55,58.28,421.62,896.0,365.0,531.0,40.74,-0.06,2 -5 0 0.0 5 2.8 30 20 312 216 10 50 45
11-2021,426.97,10.51,-4.55,58.34,425.5,906.0,370.0,536.0,40.84,-0.05,2 -5 0 0.0 5 2.0 30 20 312 216 10 50 45
11-2021,423.56,8.45,-3.19,59.52,464.22,992.0,409.0,583.0,41.23,-0.05,2 -5 0 0.0 0 1.2 30 20 312 216 10 50 45
11-2021,422.76,10.55,-3.82,58.75,424.45,922.0,383.0,539.0,41.54,-0.05,2 -5 0 0.0 5 1.2 40 20 312 216 10 50 45
11-2021,422.68,10.53,-3.64,59.1,499.07,1054.0,422.0,632.0,40.04,-0.04,2 -5 0 0.0 0 1.2 20 20 312 216 10 50 45
11-2021,422.26,10.76,-3.4,59.79,481.37,1019.0,414.0,605.0,40.63,-0.05,2 -5 0 0.0 0 1.6 20 20 312 216 10 50 45
11-2021,416.61,10.75,-3.64,60.04,455.32,977.0,393.0,584.0,40.23,-0.05,2 -5 0 0.0 0 1.6 30 20 312 216 10 50 45
11-2021,408.76,10.69,-3.96,61.14,437.69,953.0,387.0,566.0,40.61,-0.05,2 -5 0 0.0 0 2.4 40 20 312 216 10 50 45
11-2021,406.24,10.69,-3.97,61.37,442.8,955.0,389.0,566.0,40.73,-0.05,2 -5 0 0.0 0 2.4 30 20 312 216 10 50 45
11-2021,401.86,10.69,-3.64,61.57,447.59,961.0,388.0,573.0,40.37,-0.06,2 -5 0 0.0 0 2.0 30 20 312 216 10 50 45
11-2021,397.27,10.69,-3.64,62.23,440.17,957.0,387.0,570.0,40.44,-0.06,2 -5 0 0.0 0 2.0 40 20 312 216 10 50 45
11-2021,395.59,10.69,-3.97,62.39,438.91,952.0,383.0,569.0,40.23,-0.06,2 -5 0 0.0 0 2.8 40 20 312 216 10 50 45
11-2021,392.49,10.69,-4.93,62.16,449.63,953.0,382.0,571.0,40.08,-0.06,2 -5 0 0.0 0 2.8 20 20 312 216 10 50 45
11-2021,390.72,10.73,-4.06,62.53,446.06,976.0,402.0,574.0,41.19,-0.06,2 -5 0 0.0 0 1.2 40 20 312 216 10 50 45
11-2021,375.01,10.69,-4.18,63.85,439.41,953.0,382.0,571.0,40.08,-0.06,2 -5 0 0.0 0 2.8 30 20 312 216 10 50 45
