mois,finalBalance,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,parametres
11-2021,3800.82,70.45,-5.46,9.64,73.72,50.0,25.0,25.0,50.0,3.19,2 -5 0 -10.0 15 2.8 20 20 312 216 10 50 45
11-2021,3799.33,68.3,-5.33,9.83,74.8,52.0,30.0,22.0,57.69,3.04,2 -5 0 -10.0 0 2.8 20 20 312 216 10 50 45
11-2021,2786.85,72.49,-7.6,12.28,64.79,52.0,21.0,31.0,40.38,2.48,2 -5 0 -10.0 5 2.8 20 20 312 216 10 50 45
11-2021,2345.43,58.72,-7.25,15.34,71.24,54.0,24.0,30.0,44.44,1.94,2 -5 0 -10.0 20 2.8 20 20 312 216 10 50 45
11-2021,1948.03,44.96,-3.65,18.35,191.12,176.0,68.0,108.0,38.64,0.5,2 -5 0 -10.0 10 2.0 40 20 312 216 10 50 45
11-2021,1833.58,48.06,-5.42,27.6,154.78,155.0,55.0,100.0,35.48,0.53,2 -5 0 -10.0 15 2.0 40 20 312 216 10 50 45
11-2021,1799.49,45.73,-4.09,16.57,128.15,111.0,36.0,75.0,32.43,0.69,2 -5 0 -10.0 20 2.0 40 20 312 216 10 50 45
11-2021,1729.71,43.77,-4.39,23.47,205.73,190.0,64.0,126.0,33.68,0.4,2 -5 0 -10.0 5 2.0 40 20 312 216 10 50 45
11-2021,1726.84,58.82,-4.14,12.76,65.52,63.0,23.0,40.0,36.51,1.14,2 -5 0 -10.0 20 2.8 40 20 312 216 10 50 45
11-2021,1714.31,47.34,-15.11,29.71,46.96,56.0,23.0,33.0,41.07,1.3,2 -5 0 -10.0 10 2.8 20 20 312 216 10 50 45
11-2021,1547.43,46.56,-4.46,23.82,179.89,188.0,61.0,127.0,32.45,0.34,2 -5 0 -10.0 0 2.0 40 20 312 216 10 50 45
11-2021,1522.53,24.22,-5.17,17.71,141.17,141.0,42.0,99.0,29.79,0.38,2 -5 0 -10.0 20 1.6 40 20 312 216 10 50 45
11-2021,1506.19,42.06,-3.63,19.88,88.32,89.0,36.0,53.0,40.45,0.6,2 -5 0 -10.0 20 2.4 40 20 312 216 10 50 45
11-2021,1492.7,16.74,-3.74,21.27,211.26,233.0,73.0,160.0,31.33,0.24,2 -5 0 -10.0 5 2.0 30 20 312 216 10 50 45
11-2021,1479.91,14.48,-5.31,22.88,209.68,242.0,77.0,165.0,31.82,0.23,2 -5 0 -10.0 0 2.0 30 20 312 216 10 50 45
11-2021,1466.89,17.9,-4.07,16.14,161.07,191.0,67.0,124.0,35.08,0.27,2 -5 0 -10.0 15 1.6 40 20 312 216 10 50 45
11-2021,1451.07,16.7,-9.09,23.89,140.49,175.0,69.0,106.0,39.43,0.29,2 -5 0 -10.0 15 2.0 30 20 312 216 10 50 45
11-2021,1424.99,14.34,-3.07,26.52,320.39,304.0,100.0,204.0,32.89,0.18,2 -5 0 -10.0 5 1.2 40 20 312 216 10 50 45
11-2021,1387.23,18.48,-4.69,21.45,295.55,314.0,108.0,206.0,34.39,0.16,2 -5 0 -10.0 0 2.0 20 20 312 216 10 50 45
11-2021,1358.7,15.79,-4.8,23.71,225.14,257.0,83.0,174.0,32.3,0.19,2 -5 0 -10.0 0 1.6 40 20 312 216 10 50 45
11-2021,1345.63,16.61,-3.71,24.08,179.72,222.0,70.0,152.0,31.53,0.2,2 -5 0 -10.0 10 2.0 30 20 312 216 10 50 45
11-2021,1336.17,25.43,-4.77,29.93,200.41,238.0,78.0,160.0,32.77,0.19,2 -5 0 -10.0 15 1.2 40 20 312 216 10 50 45
11-2021,1273.83,17.75,-4.65,21.17,179.25,228.0,76.0,152.0,33.33,0.18,2 -5 0 -10.0 10 1.6 40 20 312 216 10 50 45
11-2021,1246.61,17.1,-3.12,19.88,130.96,157.0,52.0,105.0,33.12,0.21,2 -5 0 -10.0 0 2.4 30 20 312 216 10 50 45
