mois,finalBalance,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,parametres
01-2022,948.16,6.53,-6.86,16.97,34.96,48.0,20.0,28.0,41.67,-0.05,2 -5 0 -10.0 20 2.8 40 20 312 216 10 50 45
01-2022,829.75,4.38,-2.51,17.71,82.44,124.0,48.0,76.0,38.71,-0.11,2 -5 0 -10.0 20 2.0 20 20 312 216 10 50 45
01-2022,812.03,6.11,-6.21,23.35,53.29,79.0,27.0,52.0,34.18,-0.21,2 -5 0 -10.0 20 2.4 40 20 312 216 10 50 45
01-2022,804.58,4.67,-2.45,20.41,88.28,134.0,49.0,85.0,36.57,-0.12,2 -5 0 -10.0 20 1.2 30 20 312 216 10 50 45
01-2022,803.28,4.49,-2.25,20.53,93.81,142.0,52.0,90.0,36.62,-0.11,2 -5 0 -10.0 20 1.6 20 20 312 216 10 50 45
01-2022,802.35,3.22,-2.08,21.58,98.71,149.0,51.0,98.0,34.23,-0.11,2 -5 0 -10.0 20 1.2 20 20 312 216 10 50 45
01-2022,789.3,4.44,-4.48,22.26,64.28,99.0,32.0,67.0,32.32,-0.19,2 -5 0 -10.0 20 2.4 20 20 312 216 10 50 45
01-2022,783.1,4.95,-3.77,24.08,72.13,109.0,40.0,69.0,36.7,-0.18,2 -5 0 -10.0 20 2.0 30 20 312 216 10 50 45
01-2022,776.25,4.8,-6.24,23.31,55.87,87.0,28.0,59.0,32.18,-0.25,2 -5 0 -10.0 20 2.4 30 20 312 216 10 50 45
01-2022,763.07,11.36,-2.43,27.26,155.15,246.0,80.0,166.0,32.52,-0.07,2 -5 0 -10.0 15 1.6 20 20 312 216 10 50 45
01-2022,761.86,11.33,-3.3,26.95,123.76,192.0,74.0,118.0,38.54,-0.1,2 -5 0 -10.0 15 2.0 20 20 312 216 10 50 45
01-2022,749.57,6.87,-2.55,25.67,74.33,118.0,45.0,73.0,38.14,-0.2,2 -5 0 -10.0 20 1.2 40 20 312 216 10 50 45
01-2022,740.79,5.27,-8.69,28.3,35.96,60.0,23.0,37.0,38.33,-0.44,2 -5 0 -10.0 20 2.8 20 20 312 216 10 50 45
01-2022,734.75,4.8,-7.46,27.39,39.31,64.0,19.0,45.0,29.69,-0.43,2 -5 0 -10.0 20 2.8 30 20 312 216 10 50 45
01-2022,733.04,5.11,-4.54,28.18,66.41,105.0,34.0,71.0,32.38,-0.25,2 -5 0 -10.0 20 1.6 40 20 312 216 10 50 45
01-2022,724.15,9.04,-3.19,28.2,171.99,275.0,86.0,189.0,31.27,-0.08,2 -5 0 -10.0 15 1.2 20 20 312 216 10 50 45
01-2022,713.85,7.32,-6.83,34.63,40.46,63.0,22.0,41.0,34.92,-0.48,2 -5 0 -10.0 15 2.8 40 20 312 216 10 50 45
01-2022,711.7,4.95,-5.72,30.08,59.63,96.0,31.0,65.0,32.29,-0.31,2 -5 0 -10.0 20 2.0 40 20 312 216 10 50 45
01-2022,697.11,2.56,-3.74,30.86,75.19,121.0,48.0,73.0,39.67,-0.26,2 -5 0 -10.0 20 1.6 30 20 312 216 10 50 45
01-2022,675.16,4.8,-6.12,37.27,76.18,124.0,45.0,79.0,36.29,-0.27,2 -5 0 -10.0 15 2.4 30 20 312 216 10 50 45
01-2022,671.77,4.57,-3.1,39.1,140.11,219.0,75.0,144.0,34.25,-0.14,2 -5 0 -10.0 15 1.2 30 20 312 216 10 50 45
01-2022,668.65,5.02,-5.88,33.29,90.17,153.0,55.0,98.0,35.95,-0.22,2 -5 0 -10.0 10 2.4 30 20 312 216 10 50 45
01-2022,667.54,5.29,-6.6,33.22,48.69,82.0,25.0,57.0,30.49,-0.44,2 -5 0 -10.0 15 2.8 30 20 312 216 10 50 45
01-2022,663.5,5.6,-5.31,34.52,102.61,165.0,60.0,105.0,36.36,-0.2,2 -5 0 -10.0 10 2.0 40 20 312 216 10 50 45
01-2022,659.78,7.19,-4.39,34.97,75.28,132.0,44.0,88.0,33.33,-0.27,2 -5 0 -10.0 0 2.4 40 20 312 216 10 50 45
01-2022,658.32,4.8,-5.17,35.06,64.45,108.0,35.0,73.0,32.41,-0.34,2 -5 0 -10.0 15 2.4 40 20 312 216 10 50 45
01-2022,650.65,7.22,-5.17,34.91,66.16,117.0,39.0,78.0,33.33,-0.31,2 -5 0 -10.0 10 2.4 40 20 312 216 10 50 45
