mois,finalBalance,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,parametres
01-2022,635.74,7.21,-5.17,37.34,72.63,132.0,43.0,89.0,32.58,-0.29,2 -5 0 -10.0 5 2.4 40 20 312 216 10 50 45
01-2022,623.02,5.77,-3.63,39.6,358.13,576.0,265.0,311.0,46.01,-0.04,2 -5 0 0.0 10 1.2 30 20 312 216 10 50 45
01-2022,622.63,8.02,-7.68,39.41,40.08,72.0,21.0,51.0,29.17,-0.59,2 -5 0 -10.0 10 2.8 40 20 312 216 10 50 45
01-2022,618.64,12.42,-3.3,38.23,130.23,242.0,82.0,160.0,33.88,-0.15,2 -5 0 -10.0 10 2.0 20 20 312 216 10 50 45
01-2022,618.01,4.05,-3.1,43.61,113.43,182.0,67.0,115.0,36.81,-0.22,2 -5 0 -10.0 15 1.2 40 20 312 216 10 50 45
01-2022,609.67,4.8,-6.17,43.41,87.48,158.0,58.0,100.0,36.71,-0.27,2 -5 0 -10.0 0 2.4 30 20 312 216 10 50 45
01-2022,604.4,5.03,-7.05,41.05,41.23,74.0,22.0,52.0,29.73,-0.62,2 -5 0 -10.0 15 2.8 20 20 312 216 10 50 45
01-2022,602.82,4.95,-4.92,41.69,100.4,165.0,59.0,106.0,35.76,-0.26,2 -5 0 -10.0 15 2.0 30 20 312 216 10 50 45
01-2022,602.4,4.95,-4.65,41.75,82.46,136.0,48.0,88.0,35.29,-0.33,2 -5 0 -10.0 15 2.0 40 20 312 216 10 50 45
01-2022,602.18,12.39,-3.03,41.03,180.22,329.0,111.0,218.0,33.74,-0.11,2 -5 0 -10.0 10 1.6 20 20 312 216 10 50 45
01-2022,598.89,5.77,-3.11,41.2,344.12,570.0,266.0,304.0,46.67,-0.05,2 -5 0 0.0 10 1.2 40 20 312 216 10 50 45
01-2022,595.49,10.29,-3.19,43.44,210.11,372.0,114.0,258.0,30.65,-0.1,2 -5 0 -10.0 10 1.2 20 20 312 216 10 50 45
01-2022,592.02,3.7,-5.85,40.78,80.07,143.0,50.0,93.0,34.97,-0.32,2 -5 0 -10.0 15 2.4 20 20 312 216 10 50 45
01-2022,591.01,3.71,-3.79,46.44,121.43,198.0,72.0,126.0,36.36,-0.22,2 -5 0 -10.0 15 1.6 30 20 312 216 10 50 45
01-2022,581.2,5.77,-3.32,43.11,352.0,591.0,261.0,330.0,44.16,-0.05,2 -5 0 0.0 10 1.2 20 20 312 216 10 50 45
01-2022,575.33,4.8,-5.93,45.89,87.49,164.0,58.0,106.0,35.37,-0.29,2 -5 0 -10.0 5 2.4 30 20 312 216 10 50 45
01-2022,556.28,5.34,-5.84,44.35,90.4,172.0,59.0,113.0,34.3,-0.29,2 -5 0 -10.0 10 2.4 20 20 312 216 10 50 45
01-2022,534.31,4.69,-6.45,48.4,54.7,101.0,34.0,67.0,33.66,-0.57,2 -5 0 -10.0 0 2.8 30 20 312 216 10 50 45
01-2022,533.88,4.33,-3.33,49.19,145.3,280.0,91.0,189.0,32.5,-0.18,2 -5 0 -10.0 5 2.0 20 20 312 216 10 50 45
01-2022,532.6,5.11,-4.49,46.79,95.34,164.0,50.0,114.0,30.49,-0.34,2 -5 0 -10.0 15 1.6 40 20 312 216 10 50 45
01-2022,532.09,8.05,-7.74,47.89,41.07,78.0,21.0,57.0,26.92,-0.74,2 -5 0 -10.0 5 2.8 40 20 312 216 10 50 45
01-2022,530.45,8.22,-7.72,47.39,44.95,86.0,24.0,62.0,27.91,-0.67,2 -5 0 -10.0 0 2.8 40 20 312 216 10 50 45
01-2022,526.44,5.99,-4.59,50.67,93.72,183.0,60.0,123.0,32.79,-0.3,2 -5 0 -10.0 5 2.0 40 20 312 216 10 50 45
01-2022,514.57,4.95,-3.93,48.52,112.13,208.0,66.0,142.0,31.73,-0.28,2 -5 0 -10.0 10 2.0 30 20 312 216 10 50 45
01-2022,514.23,4.41,-7.09,51.2,44.22,85.0,32.0,53.0,37.65,-0.72,2 -5 0 -10.0 0 2.8 20 20 312 216 10 50 45
01-2022,512.63,4.87,-6.92,49.77,39.32,77.0,25.0,52.0,32.47,-0.8,2 -5 0 -10.0 10 2.8 20 20 312 216 10 50 45
01-2022,507.7,4.5,-3.62,50.3,154.74,295.0,90.0,205.0,30.51,-0.19,2 -5 0 -10.0 10 1.2 30 20 312 216 10 50 45
01-2022,498.81,4.71,-6.42,50.87,48.81,97.0,30.0,67.0,30.93,-0.66,2 -5 0 -10.0 5 2.8 30 20 312 216 10 50 45
01-2022,494.09,4.54,-2.65,55.22,180.81,350.0,107.0,243.0,30.57,-0.16,2 -5 0 -10.0 5 1.2 30 20 312 216 10 50 45
01-2022,485.29,5.77,-3.21,52.38,411.31,751.0,321.0,430.0,42.74,-0.06,2 -5 0 0.0 0 2.8 40 20 312 216 10 50 45
01-2022,479.65,4.41,-6.86,54.9,45.47,90.0,32.0,58.0,35.56,-0.75,2 -5 0 -10.0 5 2.8 20 20 312 216 10 50 45
01-2022,477.03,5.77,-3.21,53.19,408.94,751.0,321.0,430.0,42.74,-0.06,2 -5 0 0.0 0 2.8 30 20 312 216 10 50 45
01-2022,475.81,5.77,-3.21,53.31,411.5,752.0,321.0,431.0,42.69,-0.06,2 -5 0 0.0 0 2.8 20 20 312 216 10 50 45
01-2022,473.97,6.6,-3.06,53.22,126.08,249.0,73.0,176.0,29.32,-0.26,2 -5 0 -10.0 10 1.2 40 20 312 216 10 50 45
01-2022,472.3,5.77,-3.21,53.66,413.54,755.0,320.0,435.0,42.38,-0.06,2 -5 0 0.0 0 2.4 30 20 312 216 10 50 45
01-2022,467.26,5.77,-3.21,54.16,363.13,693.0,293.0,400.0,42.28,-0.07,2 -5 0 0.0 5 2.8 40 20 312 216 10 50 45
01-2022,462.52,5.57,-4.56,55.78,93.8,193.0,55.0,138.0,28.5,-0.35,2 -5 0 -10.0 0 2.0 40 20 312 216 10 50 45
01-2022,461.99,4.73,-6.4,53.78,48.1,101.0,25.0,76.0,24.75,-0.71,2 -5 0 -10.0 10 2.8 30 20 312 216 10 50 45
01-2022,461.81,5.77,-3.21,54.69,409.93,757.0,325.0,432.0,42.93,-0.06,2 -5 0 0.0 0 2.4 20 20 312 216 10 50 45
01-2022,460.99,5.77,-3.21,54.77,364.1,694.0,293.0,401.0,42.22,-0.07,2 -5 0 0.0 5 2.8 30 20 312 216 10 50 45
01-2022,459.29,5.77,-3.21,54.93,409.05,753.0,320.0,433.0,42.5,-0.07,2 -5 0 0.0 0 2.4 40 20 312 216 10 50 45
01-2022,458.96,4.1,-2.65,56.03,231.69,458.0,132.0,326.0,28.82,-0.13,2 -5 0 -10.0 5 1.2 20 20 312 216 10 50 45
01-2022,455.71,5.77,-3.21,55.29,366.19,697.0,293.0,404.0,42.04,-0.07,2 -5 0 0.0 5 2.4 30 20 312 216 10 50 45
01-2022,453.88,5.77,-3.21,55.47,362.16,694.0,293.0,401.0,42.22,-0.08,2 -5 0 0.0 5 2.8 20 20 312 216 10 50 45
01-2022,444.51,5.77,-3.09,56.38,405.95,758.0,321.0,437.0,42.35,-0.07,2 -5 0 0.0 0 2.0 30 20 312 216 10 50 45
01-2022,444.34,5.77,-3.21,56.41,361.56,695.0,293.0,402.0,42.16,-0.08,2 -5 0 0.0 5 2.4 40 20 312 216 10 50 45
01-2022,443.52,5.77,-3.21,56.49,362.07,700.0,297.0,403.0,42.43,-0.08,2 -5 0 0.0 5 2.4 20 20 312 216 10 50 45
01-2022,443.31,5.77,-2.68,55.95,390.23,742.0,313.0,429.0,42.18,-0.07,2 -5 0 0.0 5 1.2 20 20 312 216 10 50 45
01-2022,442.5,5.77,-3.09,56.42,382.59,731.0,309.0,422.0,42.27,-0.07,2 -5 0 0.0 5 1.6 20 20 312 216 10 50 45
01-2022,440.13,5.77,-3.23,56.81,409.87,771.0,329.0,442.0,42.67,-0.07,2 -5 0 0.0 0 2.0 20 20 312 216 10 50 45
01-2022,438.48,5.77,-2.98,56.84,376.53,717.0,305.0,412.0,42.54,-0.08,2 -5 0 0.0 5 1.2 30 20 312 216 10 50 45
01-2022,435.76,5.77,-3.23,57.25,371.76,715.0,306.0,409.0,42.8,-0.08,2 -5 0 0.0 5 2.0 20 20 312 216 10 50 45
01-2022,435.57,5.77,-3.09,57.27,367.91,701.0,295.0,406.0,42.08,-0.08,2 -5 0 0.0 5 2.0 30 20 312 216 10 50 45
01-2022,435.38,3.84,-3.73,59.62,142.63,295.0,86.0,209.0,29.15,-0.24,2 -5 0 -10.0 5 1.6 30 20 312 216 10 50 45
01-2022,434.4,5.77,-3.48,57.37,399.04,758.0,321.0,437.0,42.35,-0.07,2 -5 0 0.0 0 2.0 40 20 312 216 10 50 45
01-2022,433.59,4.34,-4.38,58.03,138.94,303.0,94.0,209.0,31.02,-0.23,2 -5 0 -10.0 0 2.0 20 20 312 216 10 50 45
01-2022,433.06,3.81,-3.67,57.36,128.52,264.0,81.0,183.0,30.68,-0.28,2 -5 0 -10.0 10 1.6 30 20 312 216 10 50 45
01-2022,432.73,5.77,-3.11,57.26,368.25,707.0,299.0,408.0,42.29,-0.08,2 -5 0 0.0 5 1.6 30 20 312 216 10 50 45
01-2022,432.4,5.77,-2.98,57.2,401.8,771.0,327.0,444.0,42.41,-0.07,2 -5 0 0.0 0 1.2 30 20 312 216 10 50 45
01-2022,428.84,5.77,-3.09,57.55,412.84,790.0,331.0,459.0,41.9,-0.07,2 -5 0 0.0 0 1.6 20 20 312 216 10 50 45
01-2022,428.47,4.48,-3.36,60.7,181.69,369.0,104.0,265.0,28.18,-0.19,2 -5 0 -10.0 0 1.2 30 20 312 216 10 50 45
01-2022,425.35,5.77,-3.48,58.27,360.11,701.0,295.0,406.0,42.08,-0.08,2 -5 0 0.0 5 2.0 40 20 312 216 10 50 45
01-2022,422.38,5.77,-3.11,58.56,359.69,704.0,297.0,407.0,42.19,-0.08,2 -5 0 0.0 5 1.6 40 20 312 216 10 50 45
01-2022,421.83,4.88,-3.96,59.75,112.22,236.0,72.0,164.0,30.51,-0.32,2 -5 0 -10.0 5 2.0 30 20 312 216 10 50 45
01-2022,420.98,5.77,-3.11,58.69,392.94,761.0,322.0,439.0,42.31,-0.08,2 -5 0 0.0 0 1.6 40 20 312 216 10 50 45
01-2022,420.88,5.77,-3.11,58.34,393.92,763.0,320.0,443.0,41.94,-0.08,2 -5 0 0.0 0 1.6 30 20 312 216 10 50 45
01-2022,419.61,5.36,-5.0,59.55,115.8,241.0,66.0,175.0,27.39,-0.32,2 -5 0 -10.0 0 2.0 30 20 312 216 10 50 45
01-2022,413.74,5.16,-4.53,58.61,105.8,213.0,58.0,155.0,27.23,-0.37,2 -5 0 -10.0 10 1.6 40 20 312 216 10 50 45
01-2022,412.27,5.92,-2.68,58.86,413.2,807.0,326.0,481.0,40.4,-0.07,2 -5 0 0.0 0 1.2 20 20 312 216 10 50 45
01-2022,408.77,4.56,-5.89,60.26,88.66,194.0,64.0,130.0,32.99,-0.41,2 -5 0 -10.0 0 2.4 20 20 312 216 10 50 45
01-2022,406.5,5.77,-3.11,60.12,364.31,712.0,304.0,408.0,42.7,-0.09,2 -5 0 0.0 5 1.2 40 20 312 216 10 50 45
01-2022,406.1,5.32,-5.82,60.36,87.54,194.0,64.0,130.0,32.99,-0.42,2 -5 0 -10.0 5 2.4 20 20 312 216 10 50 45
01-2022,400.31,4.12,-2.65,62.13,183.69,399.0,119.0,280.0,29.82,-0.19,2 -5 0 -10.0 5 1.6 20 20 312 216 10 50 45
01-2022,395.15,4.09,-2.65,61.64,228.5,499.0,130.0,369.0,26.05,-0.15,2 -5 0 -10.0 0 1.2 20 20 312 216 10 50 45
01-2022,394.37,5.77,-3.11,61.23,388.04,768.0,327.0,441.0,42.58,-0.08,2 -5 0 0.0 0 1.2 40 20 312 216 10 50 45
01-2022,388.49,5.05,-4.53,63.45,114.73,245.0,68.0,177.0,27.76,-0.34,2 -5 0 -10.0 5 1.6 40 20 312 216 10 50 45
01-2022,385.72,3.8,-3.74,64.86,146.53,315.0,89.0,226.0,28.25,-0.26,2 -5 0 -10.0 0 1.6 30 20 312 216 10 50 45
01-2022,381.56,5.05,-4.59,62.89,119.64,256.0,67.0,189.0,26.17,-0.33,2 -5 0 -10.0 0 1.6 40 20 312 216 10 50 45
01-2022,362.05,4.12,-2.65,65.77,187.2,424.0,121.0,303.0,28.54,-0.2,2 -5 0 -10.0 0 1.6 20 20 312 216 10 50 45
01-2022,359.15,6.71,-3.22,64.4,136.73,308.0,81.0,227.0,26.3,-0.29,2 -5 0 -10.0 0 1.2 40 20 312 216 10 50 45
01-2022,331.21,3.84,-3.06,68.38,127.05,299.0,77.0,222.0,25.75,-0.33,2 -5 0 -10.0 5 1.2 40 20 312 216 10 50 45
