,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,maxPositions,parametrePVO2,parametrePERF,parametreTRIX_HISTO,parametrePVO,parametreBOL_BANDwindowdev,parametreBOL_BANDwindow,parametreMACD,parametreEMA13D,parametreEMA9D,parametreEMA10,parametreEMA50,parametreEMA45
0,[2022-03-01 00:00:00] -> [2022-04-01 23:55:00],989.33,-1.03,6.54,-7.11,17.75,-3.1,29.66,352.72,597.0,174.0,423.0,29.15,0.05,1.47,-0.54,1000,2,-5,0,-10.0,0,1.2,20,20,312,216,10,50,45
1,[2022-03-01 00:00:00] -> [2022-04-01 23:55:00],1104.03,10.44,6.54,3.66,23.14,-3.51,31.41,264.61,434.0,135.0,299.0,31.11,0.08,1.79,-0.7,1000,2,-5,0,-10.0,0,1.2,30,20,312,216,10,50,45
2,[2022-03-01 00:00:00] -> [2022-04-01 23:55:00],1051.35,5.17,6.54,-1.29,22.84,-4.07,38.6,198.39,337.0,100.0,237.0,29.67,0.08,2.14,-0.8,1000,2,-5,0,-10.0,0,1.2,40,20,312,216,10,50,45
3,[2022-03-01 00:00:00] -> [2022-04-01 23:55:00],722.74,-27.7,6.54,-32.14,16.66,-3.84,39.2,264.88,484.0,145.0,339.0,29.96,-0.02,1.51,-0.67,1000,2,-5,0,-10.0,0,1.6,20,20,312,216,10,50,45
4,[2022-03-01 00:00:00] -> [2022-04-01 23:55:00],1287.9,28.83,6.54,20.92,28.04,-3.16,33.48,223.78,327.0,113.0,214.0,34.56,0.14,2.01,-0.85,1000,2,-5,0,-10.0,0,1.6,30,20,312,216,10,50,45
5,[2022-03-01 00:00:00] -> [2022-04-01 23:55:00],1034.53,3.49,6.54,-2.87,23.96,-3.83,33.15,173.14,270.0,79.0,191.0,29.26,0.08,2.49,-0.92,1000,2,-5,0,-10.0,0,1.6,40,20,312,216,10,50,45
6,[2022-03-01 00:00:00] -> [2022-04-01 23:55:00],1331.39,33.19,6.54,25.0,40.94,-3.08,24.39,230.48,338.0,111.0,227.0,32.84,0.16,2.14,-0.81,1000,2,-5,0,-10.0,0,2.0,20,20,312,216,10,50,45
7,[2022-03-01 00:00:00] -> [2022-04-01 23:55:00],1023.68,2.4,6.54,-3.89,29.87,-4.81,31.19,159.67,258.0,80.0,178.0,31.01,0.08,2.42,-0.97,1000,2,-5,0,-10.0,0,2.0,30,20,312,216,10,50,45
8,[2022-03-01 00:00:00] -> [2022-04-01 23:55:00],1269.41,26.99,6.54,19.18,16.18,-3.74,19.47,145.29,204.0,59.0,145.0,28.92,0.19,3.06,-0.98,1000,2,-5,0,-10.0,0,2.0,40,20,312,216,10,50,45
9,[2022-03-01 00:00:00] -> [2022-04-01 23:55:00],1462.39,46.29,6.54,37.3,34.11,-3.18,18.06,142.9,190.0,61.0,129.0,32.11,0.29,3.07,-1.02,1000,2,-5,0,-10.0,0,2.4,20,20,312,216,10,50,45
10,[2022-03-01 00:00:00] -> [2022-04-01 23:55:00],1919.45,92.01,6.54,80.22,15.87,-4.98,17.37,136.51,158.0,60.0,98.0,37.97,0.49,3.12,-1.12,1000,2,-5,0,-10.0,0,2.4,30,20,312,216,10,50,45
11,[2022-03-01 00:00:00] -> [2022-04-01 23:55:00],1006.02,0.64,6.54,-5.54,12.32,-4.99,27.02,97.01,149.0,42.0,107.0,28.19,0.08,3.22,-1.16,1000,2,-5,0,-10.0,0,2.4,40,20,312,216,10,50,45
12,[2022-03-01 00:00:00] -> [2022-04-01 23:55:00],1804.93,80.56,6.54,69.46,32.14,-4.72,15.06,76.69,87.0,30.0,57.0,34.48,0.81,4.51,-1.13,1000,2,-5,0,-10.0,0,2.8,20,20,312,216,10,50,45
13,[2022-03-01 00:00:00] -> [2022-04-01 23:55:00],1292.01,29.25,6.54,21.31,18.75,-6.9,21.06,75.67,99.0,33.0,66.0,33.33,0.37,4.17,-1.53,1000,2,-5,0,-10.0,0,2.8,30,20,312,216,10,50,45
