,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,maxPositions,parametrePVO2,parametrePERF,parametreTRIX_HISTO,parametrePVO,parametreBOL_BANDwindowdev,parametreBOL_BANDwindow,parametreMACD,parametreEMA13D,parametreEMA9D,parametreEMA10,parametreEMA50,parametreEMA45
0,[2022-04-01 00:00:00] -> [2022-04-26 19:15:00],583.03,-41.68,-16.08,-30.5,22.02,-3.56,41.68,224.92,429.0,109.0,320.0,25.41,-0.08,1.27,-0.54,1000,2,-5,0,-10.0,0,1.2,20,20,312,216,10,50,45
1,[2022-04-01 00:00:00] -> [2022-04-26 19:15:00],560.49,-43.93,-16.08,-33.19,21.56,-3.85,43.93,154.65,309.0,77.0,232.0,24.92,-0.14,1.51,-0.69,1000,2,-5,0,-10.0,0,1.2,30,20,312,216,10,50,45
2,[2022-04-01 00:00:00] -> [2022-04-26 19:15:00],646.58,-35.32,-16.08,-22.92,23.05,-3.15,39.54,132.72,254.0,61.0,193.0,24.02,-0.12,1.76,-0.71,1000,2,-5,0,-10.0,0,1.2,40,20,312,216,10,50,45
3,[2022-04-01 00:00:00] -> [2022-04-26 19:15:00],633.32,-36.65,-16.08,-24.5,22.11,-4.14,39.96,180.77,338.0,92.0,246.0,27.22,-0.09,1.39,-0.64,1000,2,-5,0,-10.0,0,1.6,20,20,312,216,10,50,45
4,[2022-04-01 00:00:00] -> [2022-04-26 19:15:00],724.31,-27.54,-16.08,-13.66,21.85,-3.19,33.38,138.35,243.0,68.0,175.0,27.98,-0.08,1.66,-0.75,1000,2,-5,0,-10.0,0,1.6,30,20,312,216,10,50,45
5,[2022-04-01 00:00:00] -> [2022-04-26 19:15:00],668.7,-33.11,-16.08,-20.29,20.63,-2.88,36.02,112.76,207.0,52.0,155.0,25.12,-0.14,1.77,-0.78,1000,2,-5,0,-10.0,0,1.6,40,20,312,216,10,50,45
6,[2022-04-01 00:00:00] -> [2022-04-26 19:15:00],617.78,-38.2,-16.08,-26.36,11.38,-2.88,38.2,137.05,248.0,63.0,185.0,25.4,-0.15,1.49,-0.7,1000,2,-5,0,-10.0,0,2.0,20,20,312,216,10,50,45
7,[2022-04-01 00:00:00] -> [2022-04-26 19:15:00],689.35,-31.04,-16.08,-17.82,21.96,-4.43,32.85,110.69,198.0,55.0,143.0,27.78,-0.13,1.83,-0.88,1000,2,-5,0,-10.0,0,2.0,30,20,312,216,10,50,45
8,[2022-04-01 00:00:00] -> [2022-04-26 19:15:00],521.89,-47.79,-16.08,-37.79,7.94,-3.95,47.79,78.62,163.0,44.0,119.0,26.99,-0.35,1.43,-1.01,1000,2,-5,0,-10.0,0,2.0,40,20,312,216,10,50,45
9,[2022-04-01 00:00:00] -> [2022-04-26 19:15:00],511.78,-48.8,-16.08,-38.99,8.44,-4.29,48.8,70.11,145.0,38.0,107.0,26.21,-0.41,1.42,-1.07,1000,2,-5,0,-10.0,0,2.4,20,20,312,216,10,50,45
