,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,maxPositions,parametrePVO2,parametrePERF,parametreTRIX_HISTO,parametrePVO,parametreBOL_BANDwindowdev,parametreBOL_BANDwindow,parametreMACD,parametreEMA13D,parametreEMA9D,parametreEMA10,parametreEMA50,parametreEMA45
0,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],395.15,-60.47,-16.42,-52.71,4.09,-2.65,61.64,228.5,499.0,130.0,369.0,26.05,-0.15,0.89,-0.51,1000,2,-5,0,-10.0,0,1.2,20,20,312,216,10,50,45
1,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],428.47,-57.14,-16.42,-48.72,4.48,-3.36,60.7,181.69,369.0,104.0,265.0,28.18,-0.19,1.05,-0.68,1000,2,-5,0,-10.0,0,1.2,30,20,312,216,10,50,45
2,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],359.15,-64.07,-16.42,-57.01,6.71,-3.22,64.4,136.73,308.0,81.0,227.0,26.3,-0.29,1.06,-0.77,1000,2,-5,0,-10.0,0,1.2,40,20,312,216,10,50,45
3,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],362.05,-63.78,-16.42,-56.67,4.12,-2.65,65.77,187.2,424.0,121.0,303.0,28.54,-0.2,0.94,-0.65,1000,2,-5,0,-10.0,0,1.6,20,20,312,216,10,50,45
4,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],385.72,-61.41,-16.42,-53.84,3.8,-3.74,64.86,146.53,315.0,89.0,226.0,28.25,-0.26,1.03,-0.77,1000,2,-5,0,-10.0,0,1.6,30,20,312,216,10,50,45
5,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],381.56,-61.83,-16.42,-54.33,5.05,-4.59,62.89,119.64,256.0,67.0,189.0,26.17,-0.33,1.25,-0.89,1000,2,-5,0,-10.0,0,1.6,40,20,312,216,10,50,45
6,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],433.59,-56.63,-16.42,-48.11,4.34,-4.38,58.03,138.94,303.0,94.0,209.0,31.02,-0.23,1.05,-0.81,1000,2,-5,0,-10.0,0,2.0,20,20,312,216,10,50,45
7,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],419.61,-58.02,-16.42,-49.78,5.36,-5.0,59.55,115.8,241.0,66.0,175.0,27.39,-0.32,1.38,-0.95,1000,2,-5,0,-10.0,0,2.0,30,20,312,216,10,50,45
8,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],462.52,-53.73,-16.42,-44.64,5.57,-4.56,55.78,93.8,193.0,55.0,138.0,28.5,-0.35,1.44,-1.07,1000,2,-5,0,-10.0,0,2.0,40,20,312,216,10,50,45
9,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],408.77,-59.11,-16.42,-51.08,4.56,-5.89,60.26,88.66,194.0,64.0,130.0,32.99,-0.41,1.12,-1.17,1000,2,-5,0,-10.0,0,2.4,20,20,312,216,10,50,45
10,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],609.67,-39.01,-16.42,-27.03,4.8,-6.17,43.41,87.48,158.0,58.0,100.0,36.71,-0.27,1.19,-1.11,1000,2,-5,0,-10.0,0,2.4,30,20,312,216,10,50,45
11,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],659.78,-34.0,-16.42,-21.03,7.19,-4.39,34.97,75.28,132.0,44.0,88.0,33.33,-0.27,1.47,-1.13,1000,2,-5,0,-10.0,0,2.4,40,20,312,216,10,50,45
12,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],514.23,-48.56,-16.42,-38.45,4.41,-7.09,51.2,44.22,85.0,32.0,53.0,37.65,-0.72,1.32,-1.95,1000,2,-5,0,-10.0,0,2.8,20,20,312,216,10,50,45
13,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],534.31,-46.55,-16.42,-36.05,4.69,-6.45,48.4,54.7,101.0,34.0,67.0,33.66,-0.57,1.39,-1.56,1000,2,-5,0,-10.0,0,2.8,30,20,312,216,10,50,45
14,[2022-01-01 00:00:00] -> [2022-02-01 23:55:00],530.45,-46.94,-16.42,-36.51,8.22,-7.72,47.39,44.95,86.0,24.0,62.0,27.91,-0.67,1.87,-1.66,1000,2,-5,0,-10.0,0,2.8,40,20,312,216,10,50,45
