,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,maxPositions,parametrePVO2,parametrePERF,parametreTRIX_HISTO,parametrePVO,parametreBOL_BANDwindowdev,parametreBOL_BANDwindow,parametreMACD,parametreEMA13D,parametreEMA9D,parametreEMA10,parametreEMA50,parametreEMA45
0,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1121.12,12.15,15.59,-2.98,9.82,-2.11,22.02,305.34,379.0,122.0,257.0,32.19,0.08,1.45,-0.58,1000,2,-5,0,-10.0,0,1.2,20,20,312,216,10,50,45
1,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],994.67,-0.5,15.59,-13.92,13.58,-2.86,27.6,203.77,278.0,91.0,187.0,32.73,0.05,1.59,-0.7,1000,2,-5,0,-10.0,0,1.2,30,20,312,216,10,50,45
2,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],941.64,-5.8,15.59,-18.51,13.07,-4.08,29.75,162.45,223.0,81.0,142.0,36.32,0.03,1.61,-0.88,1000,2,-5,0,-10.0,0,1.2,40,20,312,216,10,50,45
3,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],988.82,-1.08,15.59,-14.43,14.03,-2.51,25.27,220.98,309.0,104.0,205.0,33.66,0.04,1.5,-0.69,1000,2,-5,0,-10.0,0,1.6,20,20,312,216,10,50,45
4,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1073.55,7.39,15.59,-7.1,14.2,-3.2,29.21,183.1,224.0,85.0,139.0,37.95,0.09,1.63,-0.86,1000,2,-5,0,-10.0,0,1.6,30,20,312,216,10,50,45
5,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],810.34,-18.94,15.59,-29.87,11.84,-4.21,34.01,128.23,194.0,67.0,127.0,34.54,-0.06,1.64,-0.95,1000,2,-5,0,-10.0,0,1.6,40,20,312,216,10,50,45
6,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],955.26,-4.44,15.59,-17.33,13.29,-3.25,26.23,169.38,235.0,86.0,149.0,36.6,0.03,1.59,-0.86,1000,2,-5,0,-10.0,0,2.0,20,20,312,216,10,50,45
7,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1160.21,16.06,15.59,0.4,12.62,-3.66,30.14,151.12,184.0,72.0,112.0,39.13,0.13,1.73,-0.89,1000,2,-5,0,-10.0,0,2.0,30,20,312,216,10,50,45
8,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],961.75,-3.79,15.59,-16.77,19.12,-4.47,29.34,110.29,152.0,54.0,98.0,35.53,0.04,2.13,-1.11,1000,2,-5,0,-10.0,0,2.0,40,20,312,216,10,50,45
9,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],998.38,-0.13,15.59,-13.6,26.43,-4.11,34.2,132.55,164.0,59.0,105.0,35.98,0.07,2.11,-1.07,1000,2,-5,0,-10.0,0,2.4,20,20,312,216,10,50,45
10,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1422.11,42.26,15.59,23.07,39.46,-4.26,27.31,131.86,134.0,52.0,82.0,38.81,0.37,2.77,-1.15,1000,2,-5,0,-10.0,0,2.4,30,20,312,216,10,50,45
11,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1239.24,23.97,15.59,7.24,35.28,-5.8,33.58,89.74,116.0,39.0,77.0,33.62,0.3,3.43,-1.28,1000,2,-5,0,-10.0,0,2.4,40,20,312,216,10,50,45
12,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1003.78,0.41,15.59,-13.13,32.95,-8.11,40.99,68.86,90.0,34.0,56.0,37.78,0.12,2.89,-1.56,1000,2,-5,0,-10.0,0,2.8,20,20,312,216,10,50,45
13,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1202.67,20.31,15.59,4.08,25.57,-4.47,36.49,66.48,84.0,29.0,55.0,34.52,0.35,3.7,-1.42,1000,2,-5,0,-10.0,0,2.8,30,20,312,216,10,50,45
14,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],715.64,-28.41,15.59,-38.07,12.49,-6.07,42.28,47.98,78.0,25.0,53.0,32.05,-0.35,2.35,-1.63,1000,2,-5,0,-10.0,0,2.8,40,20,312,216,10,50,45
15,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],943.89,-5.58,15.59,-18.32,9.9,-2.2,24.34,262.67,377.0,122.0,255.0,32.36,0.03,1.33,-0.6,1000,2,-5,0,-10.0,5,1.2,20,20,312,216,10,50,45
16,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],879.0,-12.07,15.59,-23.93,13.58,-3.42,23.42,184.08,274.0,89.0,185.0,32.48,0.0,1.54,-0.74,1000,2,-5,0,-10.0,5,1.2,30,20,312,216,10,50,45
17,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],739.24,-26.05,15.59,-36.03,13.88,-4.21,37.34,139.16,227.0,75.0,152.0,33.04,-0.08,1.54,-0.88,1000,2,-5,0,-10.0,5,1.2,40,20,312,216,10,50,45
18,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],868.38,-13.13,15.59,-24.85,13.58,-2.51,24.99,205.17,307.0,98.0,209.0,31.92,0.0,1.47,-0.69,1000,2,-5,0,-10.0,5,1.6,20,20,312,216,10,50,45
19,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],879.17,-12.05,15.59,-23.92,13.76,-3.2,34.7,167.04,230.0,80.0,150.0,34.78,-0.0,1.59,-0.85,1000,2,-5,0,-10.0,5,1.6,30,20,312,216,10,50,45
20,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1110.12,11.05,15.59,-3.93,13.59,-4.21,33.55,155.59,183.0,61.0,122.0,33.33,0.12,2.25,-0.95,1000,2,-5,0,-10.0,5,1.6,40,20,312,216,10,50,45
21,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],898.34,-10.13,15.59,-22.26,13.66,-3.17,28.67,164.59,234.0,84.0,150.0,35.9,0.01,1.56,-0.86,1000,2,-5,0,-10.0,5,2.0,20,20,312,216,10,50,45
22,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1019.45,1.98,15.59,-11.78,12.64,-4.14,28.95,129.82,182.0,69.0,113.0,37.91,0.07,1.77,-0.97,1000,2,-5,0,-10.0,5,2.0,30,20,312,216,10,50,45
23,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1139.7,14.01,15.59,-1.37,19.45,-4.43,23.97,115.23,144.0,54.0,90.0,37.5,0.16,2.3,-1.12,1000,2,-5,0,-10.0,5,2.0,40,20,312,216,10,50,45
24,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1154.76,15.52,15.59,-0.07,43.51,-4.11,30.35,132.11,151.0,58.0,93.0,38.41,0.2,2.32,-1.13,1000,2,-5,0,-10.0,5,2.4,20,20,312,216,10,50,45
25,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1600.81,60.14,15.59,38.53,39.6,-4.56,21.06,129.38,125.0,52.0,73.0,41.6,0.49,2.86,-1.2,1000,2,-5,0,-10.0,5,2.4,30,20,312,216,10,50,45
26,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1362.6,36.31,15.59,17.92,35.28,-5.8,28.33,87.0,112.0,42.0,70.0,37.5,0.4,3.18,-1.27,1000,2,-5,0,-10.0,5,2.4,40,20,312,216,10,50,45
27,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1112.51,11.29,15.59,-3.72,32.95,-8.04,35.01,71.22,88.0,36.0,52.0,40.91,0.24,2.78,-1.52,1000,2,-5,0,-10.0,5,2.8,20,20,312,216,10,50,45
28,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1371.62,37.21,15.59,18.7,25.89,-4.92,33.3,64.17,76.0,29.0,47.0,38.16,0.55,3.76,-1.42,1000,2,-5,0,-10.0,5,2.8,30,20,312,216,10,50,45
29,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],798.89,-20.08,15.59,-30.86,12.72,-6.0,37.31,47.38,73.0,25.0,48.0,34.25,-0.23,2.38,-1.59,1000,2,-5,0,-10.0,5,2.8,40,20,312,216,10,50,45
30,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],854.09,-14.56,15.59,-26.09,13.63,-2.13,30.75,206.4,335.0,93.0,242.0,27.76,-0.0,1.47,-0.57,1000,2,-5,0,-10.0,10,1.2,20,20,312,216,10,50,45
31,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],835.95,-16.38,15.59,-27.66,12.35,-2.86,31.43,166.58,249.0,83.0,166.0,33.33,-0.02,1.41,-0.74,1000,2,-5,0,-10.0,10,1.2,30,20,312,216,10,50,45
32,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],968.42,-3.12,15.59,-16.19,12.47,-4.03,24.86,144.62,201.0,69.0,132.0,34.33,0.04,1.73,-0.85,1000,2,-5,0,-10.0,10,1.2,40,20,312,216,10,50,45
33,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],747.14,-25.26,15.59,-35.34,6.31,-2.77,29.03,171.26,275.0,84.0,191.0,30.55,-0.06,1.36,-0.69,1000,2,-5,0,-10.0,10,1.6,20,20,312,216,10,50,45
34,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],799.84,-19.99,15.59,-30.78,12.35,-3.02,31.98,140.4,212.0,73.0,139.0,34.43,-0.06,1.43,-0.84,1000,2,-5,0,-10.0,10,1.6,30,20,312,216,10,50,45
35,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],879.71,-12.0,15.59,-23.87,11.68,-3.33,33.24,118.41,170.0,54.0,116.0,31.76,-0.03,1.74,-0.85,1000,2,-5,0,-10.0,10,1.6,40,20,312,216,10,50,45
36,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],932.33,-6.73,15.59,-19.32,19.83,-3.06,24.18,155.86,215.0,74.0,141.0,34.42,0.02,1.63,-0.82,1000,2,-5,0,-10.0,10,2.0,20,20,312,216,10,50,45
37,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1062.86,6.32,15.59,-8.02,12.35,-3.09,29.8,130.07,172.0,60.0,112.0,34.88,0.09,1.89,-0.87,1000,2,-5,0,-10.0,10,2.0,30,20,312,216,10,50,45
38,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],934.75,-6.49,15.59,-19.11,11.4,-3.77,33.62,97.5,137.0,44.0,93.0,32.12,0.01,2.12,-0.99,1000,2,-5,0,-10.0,10,2.0,40,20,312,216,10,50,45
39,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1091.44,9.18,15.59,-5.55,48.07,-4.12,36.33,123.96,141.0,49.0,92.0,34.75,0.18,2.52,-1.07,1000,2,-5,0,-10.0,10,2.4,20,20,312,216,10,50,45
40,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1165.18,16.56,15.59,0.83,38.96,-4.26,30.31,112.04,131.0,43.0,88.0,32.82,0.22,2.77,-1.03,1000,2,-5,0,-10.0,10,2.4,30,20,312,216,10,50,45
41,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],863.51,-13.62,15.59,-25.27,11.45,-5.8,39.29,76.12,117.0,39.0,78.0,33.33,-0.06,2.21,-1.2,1000,2,-5,0,-10.0,10,2.4,40,20,312,216,10,50,45
42,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],988.22,-1.14,15.59,-14.48,32.95,-4.21,34.48,66.71,92.0,33.0,59.0,35.87,0.09,2.7,-1.36,1000,2,-5,0,-10.0,10,2.8,20,20,312,216,10,50,45
43,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1068.2,6.86,15.59,-7.56,28.26,-4.19,32.8,58.29,74.0,27.0,47.0,36.49,0.2,2.99,-1.41,1000,2,-5,0,-10.0,10,2.8,30,20,312,216,10,50,45
44,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],754.9,-24.48,15.59,-34.67,12.55,-5.93,43.68,45.91,73.0,23.0,50.0,31.51,-0.3,2.66,-1.66,1000,2,-5,0,-10.0,10,2.8,40,20,312,216,10,50,45
45,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1019.45,1.98,15.59,-11.78,14.09,-2.55,17.13,186.16,262.0,84.0,178.0,32.06,0.05,1.36,-0.57,1000,2,-5,0,-10.0,15,1.2,20,20,312,216,10,50,45
46,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1129.84,13.02,15.59,-2.22,12.33,-2.6,12.59,150.77,192.0,72.0,120.0,37.5,0.11,1.48,-0.71,1000,2,-5,0,-10.0,15,1.2,30,20,312,216,10,50,45
47,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1099.26,9.96,15.59,-4.87,11.5,-4.02,20.75,129.99,163.0,57.0,106.0,34.97,0.11,1.87,-0.83,1000,2,-5,0,-10.0,15,1.2,40,20,312,216,10,50,45
48,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],950.21,-4.95,15.59,-17.77,11.97,-3.16,20.47,160.98,216.0,66.0,150.0,30.56,0.02,1.59,-0.67,1000,2,-5,0,-10.0,15,1.6,20,20,312,216,10,50,45
49,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1113.99,11.44,15.59,-3.6,11.9,-3.15,19.27,137.39,169.0,59.0,110.0,34.91,0.12,1.78,-0.78,1000,2,-5,0,-10.0,15,1.6,30,20,312,216,10,50,45
50,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1260.61,26.1,15.59,9.09,12.35,-3.23,24.39,121.51,138.0,45.0,93.0,32.61,0.23,2.44,-0.84,1000,2,-5,0,-10.0,15,1.6,40,20,312,216,10,50,45
51,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1143.92,14.43,15.59,-1.01,12.3,-3.16,16.26,139.88,172.0,60.0,112.0,34.88,0.13,1.73,-0.73,1000,2,-5,0,-10.0,15,2.0,20,20,312,216,10,50,45
52,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1197.19,19.76,15.59,3.61,12.04,-3.44,20.31,117.2,145.0,49.0,96.0,33.79,0.18,2.12,-0.81,1000,2,-5,0,-10.0,15,2.0,30,20,312,216,10,50,45
53,[2022-02-01 00:00:00] -> [2022-03-01 23:55:00],1307.38,30.78,15.59,13.14,13.11,-3.65,26.64,98.72,114.0,37.0,77.0,32.46,0.3,2.85,-0.92,1000,2,-5,0,-10.0,15,2.0,40,20,312,216,10,50,45
