,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,maxPositions,parametrePVO2,parametrePERF,parametreTRIX_HISTO,parametrePVO,parametreBOL_BANDwindowdev,parametreBOL_BANDwindow,parametreMACD,parametreEMA13D,parametreEMA9D,parametreEMA10,parametreEMA50,parametreEMA45
0,[2021-11-01 00:00:00] -> [2021-12-01 23:55:00],754.52,-24.52,-6.68,-19.12,10.87,-2.83,43.42,421.13,588.0,178.0,410.0,30.27,-0.0,1.36,-0.6,1000,2,-5,0,-10.0,0,1.2,20,20,312,216,10,50,45
1,[2021-11-01 00:00:00] -> [2021-12-01 23:55:00],897.0,-10.27,-6.68,-3.85,24.38,-3.56,38.65,340.52,410.0,118.0,292.0,28.78,0.03,1.99,-0.76,1000,2,-5,0,-10.0,0,1.2,30,20,312,216,10,50,45
2,[2021-11-01 00:00:00] -> [2021-12-01 23:55:00],1078.47,7.88,-6.68,15.61,14.38,-3.65,29.08,254.4,314.0,96.0,218.0,30.57,0.08,2.28,-0.88,1000,2,-5,0,-10.0,0,1.2,40,20,312,216,10,50,45
3,[2021-11-01 00:00:00] -> [2021-12-01 23:55:00],913.88,-8.58,-6.68,-2.04,20.01,-6.38,30.81,356.18,479.0,148.0,331.0,30.9,0.03,1.68,-0.7,1000,2,-5,0,-10.0,0,1.6,20,20,312,216,10,50,45
4,[2021-11-01 00:00:00] -> [2021-12-01 23:55:00],956.28,-4.34,-6.68,2.51,24.39,-9.11,32.04,246.7,332.0,102.0,230.0,30.72,0.05,2.21,-0.91,1000,2,-5,0,-10.0,0,1.6,30,20,312,216,10,50,45
5,[2021-11-01 00:00:00] -> [2021-12-01 23:55:00],1358.7,35.92,-6.68,45.65,15.79,-4.8,23.71,225.14,257.0,83.0,174.0,32.3,0.19,2.7,-1.01,1000,2,-5,0,-10.0,0,1.6,40,20,312,216,10,50,45
6,[2021-11-01 00:00:00] -> [2021-12-01 23:55:00],1387.23,38.77,-6.68,48.71,18.48,-4.69,21.45,295.55,314.0,108.0,206.0,34.39,0.16,2.11,-0.85,1000,2,-5,0,-10.0,0,2.0,20,20,312,216,10,50,45
7,[2021-11-01 00:00:00] -> [2021-12-01 23:55:00],1479.91,48.04,-6.68,58.64,14.48,-5.31,22.88,209.68,242.0,77.0,165.0,31.82,0.23,2.82,-0.98,1000,2,-5,0,-10.0,0,2.0,30,20,312,216,10,50,45
8,[2021-11-01 00:00:00] -> [2021-12-01 23:55:00],1547.43,54.8,-6.68,65.88,46.56,-4.46,23.82,179.89,188.0,61.0,127.0,32.45,0.34,3.39,-1.12,1000,2,-5,0,-10.0,0,2.0,40,20,312,216,10,50,45
9,[2021-11-01 00:00:00] -> [2021-12-01 23:55:00],1196.69,19.71,-6.68,28.28,18.39,-7.61,20.61,155.28,177.0,60.0,117.0,33.9,0.18,2.77,-1.16,1000,2,-5,0,-10.0,0,2.4,20,20,312,216,10,50,45
