,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,maxPositions,parametrePVO2,parametrePERF,parametreTRIX_HISTO,parametrePVO,parametreBOL_BANDwindowdev,parametreBOL_BANDwindow,parametreMACD,parametreEMA13D,parametreEMA9D,parametreEMA10,parametreEMA50,parametreEMA45
0,[2021-12-01 00:00:00] -> [2022-01-01 23:55:00],526.98,-47.28,-16.02,-37.23,9.58,-4.05,55.83,212.38,531.0,146.0,385.0,27.5,-0.08,1.26,-0.59,1000,2,-5,0,-10.0,0,1.2,20,20,312,216,10,50,45
1,[2021-12-01 00:00:00] -> [2022-01-01 23:55:00],421.19,-57.87,-16.02,-49.83,8.33,-2.69,60.33,153.32,411.0,109.0,302.0,26.52,-0.17,1.38,-0.73,1000,2,-5,0,-10.0,0,1.2,30,20,312,216,10,50,45
2,[2021-12-01 00:00:00] -> [2022-01-01 23:55:00],516.9,-48.29,-16.02,-38.43,7.47,-5.14,56.21,133.72,321.0,93.0,228.0,28.97,-0.16,1.62,-0.89,1000,2,-5,0,-10.0,0,1.2,40,20,312,216,10,50,45
3,[2021-12-01 00:00:00] -> [2022-01-01 23:55:00],383.72,-61.61,-16.02,-54.29,9.18,-4.33,64.19,169.19,468.0,119.0,349.0,25.43,-0.16,1.39,-0.69,1000,2,-5,0,-10.0,0,1.6,20,20,312,216,10,50,45
4,[2021-12-01 00:00:00] -> [2022-01-01 23:55:00],445.21,-55.46,-16.02,-46.97,8.99,-5.9,59.47,141.63,339.0,92.0,247.0,27.14,-0.19,1.54,-0.84,1000,2,-5,0,-10.0,0,1.6,30,20,312,216,10,50,45
5,[2021-12-01 00:00:00] -> [2022-01-01 23:55:00],547.57,-45.22,-16.02,-34.77,8.95,-5.77,49.15,122.8,271.0,83.0,188.0,30.63,-0.17,1.78,-1.03,1000,2,-5,0,-10.0,0,1.6,40,20,312,216,10,50,45
6,[2021-12-01 00:00:00] -> [2022-01-01 23:55:00],330.9,-66.9,-16.02,-60.58,9.22,-5.94,67.87,118.67,359.0,94.0,265.0,26.18,-0.26,1.46,-0.87,1000,2,-5,0,-10.0,0,2.0,20,20,312,216,10,50,45
7,[2021-12-01 00:00:00] -> [2022-01-01 23:55:00],469.85,-53.0,-16.02,-44.03,7.41,-4.9,56.97,108.56,263.0,81.0,182.0,30.8,-0.24,1.5,-1.02,1000,2,-5,0,-10.0,0,2.0,30,20,312,216,10,50,45
8,[2021-12-01 00:00:00] -> [2022-01-01 23:55:00],430.59,-56.93,-16.02,-48.71,7.41,-5.44,58.8,89.48,227.0,72.0,155.0,31.72,-0.32,1.57,-1.2,1000,2,-5,0,-10.0,0,2.0,40,20,312,216,10,50,45
9,[2021-12-01 00:00:00] -> [2022-01-01 23:55:00],379.95,-61.99,-16.02,-54.74,7.44,-7.46,66.26,73.0,200.0,60.0,140.0,30.0,-0.43,1.75,-1.36,1000,2,-5,0,-10.0,0,2.4,20,20,312,216,10,50,45
10,[2021-12-01 00:00:00] -> [2022-01-01 23:55:00],315.53,-68.44,-16.02,-62.41,7.44,-7.97,68.69,66.71,187.0,51.0,136.0,27.27,-0.56,1.73,-1.42,1000,2,-5,0,-10.0,0,2.4,30,20,312,216,10,50,45
11,[2021-12-01 00:00:00] -> [2022-01-01 23:55:00],378.3,-62.16,-16.02,-54.94,8.61,-4.75,62.5,71.01,170.0,46.0,124.0,27.06,-0.51,1.95,-1.43,1000,2,-5,0,-10.0,0,2.4,40,20,312,216,10,50,45
12,[2021-12-01 00:00:00] -> [2022-01-01 23:55:00],637.0,-36.28,-16.02,-24.12,8.4,-8.61,39.92,42.57,84.0,29.0,55.0,34.52,-0.45,2.76,-2.15,1000,2,-5,0,-10.0,0,2.8,20,20,312,216,10,50,45
13,[2021-12-01 00:00:00] -> [2022-01-01 23:55:00],481.41,-51.84,-16.02,-42.66,11.49,-7.82,54.89,37.79,89.0,25.0,64.0,28.09,-0.74,2.61,-2.05,1000,2,-5,0,-10.0,0,2.8,30,20,312,216,10,50,45
